Fra,Til,KWH 60 Forbruk
01.06.2021 00:00,01.06.2021 01:00,"0,263"
01.06.2021 01:00,01.06.2021 02:00,"0,883"
01.06.2021 02:00,01.06.2021 03:00,"0,144"
01.06.2021 03:00,01.06.2021 04:00,"0,144"
01.06.2021 04:00,01.06.2021 05:00,"0,146"
01.06.2021 05:00,01.06.2021 06:00,"0,941"
01.06.2021 06:00,01.06.2021 07:00,"0,183"
01.06.2021 07:00,01.06.2021 08:00,"0,196"
01.06.2021 08:00,01.06.2021 09:00,"0,303"
01.06.2021 09:00,01.06.2021 10:00,"1,995"
01.06.2021 10:00,01.06.2021 11:00,"3,159"
01.06.2021 11:00,01.06.2021 12:00,"1,087"
01.06.2021 12:00,01.06.2021 13:00,"0,529"
01.06.2021 13:00,01.06.2021 14:00,"0,541"
01.06.2021 14:00,01.06.2021 15:00,"1,769"
01.06.2021 15:00,01.06.2021 16:00,"0,759"
01.06.2021 16:00,01.06.2021 17:00,"0,426"
01.06.2021 17:00,01.06.2021 18:00,"0,935"
01.06.2021 18:00,01.06.2021 19:00,"0,906"
01.06.2021 19:00,01.06.2021 20:00,"0,336"
01.06.2021 20:00,01.06.2021 21:00,"1,711"
01.06.2021 21:00,01.06.2021 22:00,"2,124"
01.06.2021 22:00,01.06.2021 23:00,"2,102"
01.06.2021 23:00,02.06.2021 00:00,"0,754"
02.06.2021 00:00,02.06.2021 01:00,"1,362"
02.06.2021 01:00,02.06.2021 02:00,"2,104"
02.06.2021 02:00,02.06.2021 03:00,"1,69"
02.06.2021 03:00,02.06.2021 04:00,"0,143"
02.06.2021 04:00,02.06.2021 05:00,"0,145"
02.06.2021 05:00,02.06.2021 06:00,"0,144"
02.06.2021 06:00,02.06.2021 07:00,"0,171"
02.06.2021 07:00,02.06.2021 08:00,"0,187"
02.06.2021 08:00,02.06.2021 09:00,"1,579"
02.06.2021 09:00,02.06.2021 10:00,"0,82"
02.06.2021 10:00,02.06.2021 11:00,"0,51"
02.06.2021 11:00,02.06.2021 12:00,"0,577"
02.06.2021 12:00,02.06.2021 13:00,"1,625"
02.06.2021 13:00,02.06.2021 14:00,"0,66"
02.06.2021 14:00,02.06.2021 15:00,"0,746"
02.06.2021 15:00,02.06.2021 16:00,"1,646"
02.06.2021 16:00,02.06.2021 17:00,"1,187"
02.06.2021 17:00,02.06.2021 18:00,"1,162"
02.06.2021 18:00,02.06.2021 19:00,"2,122"
02.06.2021 19:00,02.06.2021 20:00,"0,536"
02.06.2021 20:00,02.06.2021 21:00,"0,428"
02.06.2021 21:00,02.06.2021 22:00,"1,075"
02.06.2021 22:00,02.06.2021 23:00,"0,379"
02.06.2021 23:00,03.06.2021 00:00,"0,194"
03.06.2021 00:00,03.06.2021 01:00,"0,158"
03.06.2021 01:00,03.06.2021 02:00,"0,158"
03.06.2021 02:00,03.06.2021 03:00,"0,368"
03.06.2021 03:00,03.06.2021 04:00,"0,639"
03.06.2021 04:00,03.06.2021 05:00,"0,15"
03.06.2021 05:00,03.06.2021 06:00,"0,144"
03.06.2021 06:00,03.06.2021 07:00,"0,174"
03.06.2021 07:00,03.06.2021 08:00,"0,203"
03.06.2021 08:00,03.06.2021 09:00,"0,406"
03.06.2021 09:00,03.06.2021 10:00,"0,626"
03.06.2021 10:00,03.06.2021 11:00,"1,623"
03.06.2021 11:00,03.06.2021 12:00,"0,369"
03.06.2021 12:00,03.06.2021 13:00,"1,783"
03.06.2021 13:00,03.06.2021 14:00,"2,252"
03.06.2021 14:00,03.06.2021 15:00,"2,218"
03.06.2021 15:00,03.06.2021 16:00,"2,275"
03.06.2021 16:00,03.06.2021 17:00,"1,079"
03.06.2021 17:00,03.06.2021 18:00,"0,207"
03.06.2021 18:00,03.06.2021 19:00,"0,444"
03.06.2021 19:00,03.06.2021 20:00,"0,368"
03.06.2021 20:00,03.06.2021 21:00,"0,736"
03.06.2021 21:00,03.06.2021 22:00,"1,554"
03.06.2021 22:00,03.06.2021 23:00,"3,058"
03.06.2021 23:00,04.06.2021 00:00,"2,947"
04.06.2021 00:00,04.06.2021 01:00,"2,226"
04.06.2021 01:00,04.06.2021 02:00,"0,427"
04.06.2021 02:00,04.06.2021 03:00,"0,241"
04.06.2021 03:00,04.06.2021 04:00,"0,16"
04.06.2021 04:00,04.06.2021 05:00,"0,149"
04.06.2021 05:00,04.06.2021 06:00,"0,968"
04.06.2021 06:00,04.06.2021 07:00,"0,181"
04.06.2021 07:00,04.06.2021 08:00,"0,196"
04.06.2021 08:00,04.06.2021 09:00,"0,206"
04.06.2021 09:00,04.06.2021 10:00,"0,215"
04.06.2021 10:00,04.06.2021 11:00,"1,512"
04.06.2021 11:00,04.06.2021 12:00,"0,392"
04.06.2021 12:00,04.06.2021 13:00,"0,396"
04.06.2021 13:00,04.06.2021 14:00,"1,652"
04.06.2021 14:00,04.06.2021 15:00,"0,447"
04.06.2021 15:00,04.06.2021 16:00,"0,51"
04.06.2021 16:00,04.06.2021 17:00,"1,5"
04.06.2021 17:00,04.06.2021 18:00,"0,393"
04.06.2021 18:00,04.06.2021 19:00,"0,419"
04.06.2021 19:00,04.06.2021 20:00,"0,565"
04.06.2021 20:00,04.06.2021 21:00,"0,947"
04.06.2021 21:00,04.06.2021 22:00,"0,762"
04.06.2021 22:00,04.06.2021 23:00,"2,924"
04.06.2021 23:00,05.06.2021 00:00,"2,25"
05.06.2021 00:00,05.06.2021 01:00,"2,218"
05.06.2021 01:00,05.06.2021 02:00,"0,634"
05.06.2021 02:00,05.06.2021 03:00,"0,199"
05.06.2021 03:00,05.06.2021 04:00,"0,204"
05.06.2021 04:00,05.06.2021 05:00,"0,196"
05.06.2021 05:00,05.06.2021 06:00,"0,199"
05.06.2021 06:00,05.06.2021 07:00,"0,231"
05.06.2021 07:00,05.06.2021 08:00,"0,947"
05.06.2021 08:00,05.06.2021 09:00,"0,265"
05.06.2021 09:00,05.06.2021 10:00,"1,092"
05.06.2021 10:00,05.06.2021 11:00,"0,392"
05.06.2021 11:00,05.06.2021 12:00,"1,205"
05.06.2021 12:00,05.06.2021 13:00,"0,586"
05.06.2021 13:00,05.06.2021 14:00,"0,42"
05.06.2021 14:00,05.06.2021 15:00,"0,35"
05.06.2021 15:00,05.06.2021 16:00,"1,293"
05.06.2021 16:00,05.06.2021 17:00,"0,841"
05.06.2021 17:00,05.06.2021 18:00,"1,463"
05.06.2021 18:00,05.06.2021 19:00,"1,912"
05.06.2021 19:00,05.06.2021 20:00,"0,512"
05.06.2021 20:00,05.06.2021 21:00,"1,447"
05.06.2021 21:00,05.06.2021 22:00,"0,492"
05.06.2021 22:00,05.06.2021 23:00,"0,799"
05.06.2021 23:00,06.06.2021 00:00,"2,273"
06.06.2021 00:00,06.06.2021 01:00,"2,177"
06.06.2021 01:00,06.06.2021 02:00,"1,098"
06.06.2021 02:00,06.06.2021 03:00,"0,248"
06.06.2021 03:00,06.06.2021 04:00,"0,238"
06.06.2021 04:00,06.06.2021 05:00,"0,238"
06.06.2021 05:00,06.06.2021 06:00,"0,229"
06.06.2021 06:00,06.06.2021 07:00,"0,269"
06.06.2021 07:00,06.06.2021 08:00,"0,993"
06.06.2021 08:00,06.06.2021 09:00,"0,282"
06.06.2021 09:00,06.06.2021 10:00,"0,491"
06.06.2021 10:00,06.06.2021 11:00,"1,356"
06.06.2021 11:00,06.06.2021 12:00,"0,356"
06.06.2021 12:00,06.06.2021 13:00,"0,502"
06.06.2021 13:00,06.06.2021 14:00,"0,34"
06.06.2021 14:00,06.06.2021 15:00,"0,336"
