Fra,Til,KWH 60 Forbruk
01.04.2020 00:00,01.04.2020 01:00,"1,61"
01.04.2020 01:00,01.04.2020 02:00,"2,677"
01.04.2020 02:00,01.04.2020 03:00,"1,576"
01.04.2020 03:00,01.04.2020 04:00,"1,572"
01.04.2020 04:00,01.04.2020 05:00,"1,555"
01.04.2020 05:00,01.04.2020 06:00,"2,417"
01.04.2020 06:00,01.04.2020 07:00,"2,635"
01.04.2020 07:00,01.04.2020 08:00,"1,862"
01.04.2020 08:00,01.04.2020 09:00,"2,719"
01.04.2020 09:00,01.04.2020 10:00,"2,53"
01.04.2020 10:00,01.04.2020 11:00,"2,16"
01.04.2020 11:00,01.04.2020 12:00,"1,728"
01.04.2020 12:00,01.04.2020 13:00,"3,63"
01.04.2020 13:00,01.04.2020 14:00,"3,65"
01.04.2020 14:00,01.04.2020 15:00,"3,195"
01.04.2020 15:00,01.04.2020 16:00,"1,469"
01.04.2020 16:00,01.04.2020 17:00,"0,393"
01.04.2020 17:00,01.04.2020 18:00,"2,105"
01.04.2020 18:00,01.04.2020 19:00,"1,398"
01.04.2020 19:00,01.04.2020 20:00,"0,3"
01.04.2020 20:00,01.04.2020 21:00,"0,245"
01.04.2020 21:00,01.04.2020 22:00,"0,983"
01.04.2020 22:00,01.04.2020 23:00,"1,729"
01.04.2020 23:00,02.04.2020 00:00,"0,197"
02.04.2020 00:00,02.04.2020 01:00,"0,199"
02.04.2020 01:00,02.04.2020 02:00,"0,203"
02.04.2020 02:00,02.04.2020 03:00,"1,418"
02.04.2020 03:00,02.04.2020 04:00,"0,982"
02.04.2020 04:00,02.04.2020 05:00,"0,297"
02.04.2020 05:00,02.04.2020 06:00,"0,327"
02.04.2020 06:00,02.04.2020 07:00,"0,317"
02.04.2020 07:00,02.04.2020 08:00,"2,246"
02.04.2020 08:00,02.04.2020 09:00,"2,314"
02.04.2020 09:00,02.04.2020 10:00,"3,092"
02.04.2020 10:00,02.04.2020 11:00,"3,558"
02.04.2020 11:00,02.04.2020 12:00,"1,837"
02.04.2020 12:00,02.04.2020 13:00,"1,661"
02.04.2020 13:00,02.04.2020 14:00,"1,894"
02.04.2020 14:00,02.04.2020 15:00,"0,416"
02.04.2020 15:00,02.04.2020 16:00,"1,135"
02.04.2020 16:00,02.04.2020 17:00,"0,974"
02.04.2020 17:00,02.04.2020 18:00,"0,644"
02.04.2020 18:00,02.04.2020 19:00,"1,392"
02.04.2020 19:00,02.04.2020 20:00,"2,342"
02.04.2020 20:00,02.04.2020 21:00,"1,482"
02.04.2020 21:00,02.04.2020 22:00,"1,488"
02.04.2020 22:00,02.04.2020 23:00,"1,646"
02.04.2020 23:00,03.04.2020 00:00,"2,486"
03.04.2020 00:00,03.04.2020 01:00,"0,213"
