Fra,Til,KWH 60 Forbruk
01.07.2021 00:00,01.07.2021 01:00,"0,47"
01.07.2021 01:00,01.07.2021 02:00,"1,221"
01.07.2021 02:00,01.07.2021 03:00,"0,325"
01.07.2021 03:00,01.07.2021 04:00,"1,024"
01.07.2021 04:00,01.07.2021 05:00,"1,238"
01.07.2021 05:00,01.07.2021 06:00,"0,153"
01.07.2021 06:00,01.07.2021 07:00,"0,235"
01.07.2021 07:00,01.07.2021 08:00,"0,214"
01.07.2021 08:00,01.07.2021 09:00,"0,273"
01.07.2021 09:00,01.07.2021 10:00,"0,873"
01.07.2021 10:00,01.07.2021 11:00,"0,203"
01.07.2021 11:00,01.07.2021 12:00,"1,387"
01.07.2021 12:00,01.07.2021 13:00,"1,064"
01.07.2021 13:00,01.07.2021 14:00,"0,3"
01.07.2021 14:00,01.07.2021 15:00,"0,312"
01.07.2021 15:00,01.07.2021 16:00,"1,239"
01.07.2021 16:00,01.07.2021 17:00,"0,405"
01.07.2021 17:00,01.07.2021 18:00,"1,806"
01.07.2021 18:00,01.07.2021 19:00,"0,95"
01.07.2021 19:00,01.07.2021 20:00,"2,14"
01.07.2021 20:00,01.07.2021 21:00,"0,404"
01.07.2021 21:00,01.07.2021 22:00,"1,787"
01.07.2021 22:00,01.07.2021 23:00,"0,339"
01.07.2021 23:00,02.07.2021 00:00,"3,03"
02.07.2021 00:00,02.07.2021 01:00,"2,84"
02.07.2021 01:00,02.07.2021 02:00,"0,395"
02.07.2021 02:00,02.07.2021 03:00,"0,28"
02.07.2021 03:00,02.07.2021 04:00,"1,233"
02.07.2021 04:00,02.07.2021 05:00,"0,323"
02.07.2021 05:00,02.07.2021 06:00,"0,337"
02.07.2021 06:00,02.07.2021 07:00,"1,255"
02.07.2021 07:00,02.07.2021 08:00,"0,35"
02.07.2021 08:00,02.07.2021 09:00,"0,194"
02.07.2021 09:00,02.07.2021 10:00,"0,203"
02.07.2021 10:00,02.07.2021 11:00,"0,388"
02.07.2021 11:00,02.07.2021 12:00,"0,215"
02.07.2021 12:00,02.07.2021 13:00,"0,959"
02.07.2021 13:00,02.07.2021 14:00,"0,224"
02.07.2021 14:00,02.07.2021 15:00,"0,264"
02.07.2021 15:00,02.07.2021 16:00,"1,944"
02.07.2021 16:00,02.07.2021 17:00,"2,24"
02.07.2021 17:00,02.07.2021 18:00,"2,248"
02.07.2021 18:00,02.07.2021 19:00,"2,215"
02.07.2021 19:00,02.07.2021 20:00,"3,341"
02.07.2021 20:00,02.07.2021 21:00,"2,039"
02.07.2021 21:00,02.07.2021 22:00,"0,661"
02.07.2021 22:00,02.07.2021 23:00,"0,35"
02.07.2021 23:00,03.07.2021 00:00,"1,164"
03.07.2021 00:00,03.07.2021 01:00,"3,786"
03.07.2021 01:00,03.07.2021 02:00,"0,495"
03.07.2021 02:00,03.07.2021 03:00,"0,721"
03.07.2021 03:00,03.07.2021 04:00,"1,961"
03.07.2021 04:00,03.07.2021 05:00,"0,974"
03.07.2021 05:00,03.07.2021 06:00,"0,741"
03.07.2021 06:00,03.07.2021 07:00,"0,271"
03.07.2021 07:00,03.07.2021 08:00,"1,059"
03.07.2021 08:00,03.07.2021 09:00,"0,221"
03.07.2021 09:00,03.07.2021 10:00,"0,244"
03.07.2021 10:00,03.07.2021 11:00,"0,216"
03.07.2021 11:00,03.07.2021 12:00,"1,836"
03.07.2021 12:00,03.07.2021 13:00,"0,758"
03.07.2021 13:00,03.07.2021 14:00,"0,248"
03.07.2021 14:00,03.07.2021 15:00,"0,233"
03.07.2021 15:00,03.07.2021 16:00,"0,218"
03.07.2021 16:00,03.07.2021 17:00,"1,13"
03.07.2021 17:00,03.07.2021 18:00,"1,169"
03.07.2021 18:00,03.07.2021 19:00,"1,154"
03.07.2021 19:00,03.07.2021 20:00,"0,377"
03.07.2021 20:00,03.07.2021 21:00,"1,457"
03.07.2021 21:00,03.07.2021 22:00,"0,921"
03.07.2021 22:00,03.07.2021 23:00,"0,321"
03.07.2021 23:00,04.07.2021 00:00,"1,031"
04.07.2021 00:00,04.07.2021 01:00,"2,046"
04.07.2021 01:00,04.07.2021 02:00,"2,67"
04.07.2021 02:00,04.07.2021 03:00,"2,253"
04.07.2021 03:00,04.07.2021 04:00,"0,988"
04.07.2021 04:00,04.07.2021 05:00,"0,222"
04.07.2021 05:00,04.07.2021 06:00,"0,144"
04.07.2021 06:00,04.07.2021 07:00,"0,178"
04.07.2021 07:00,04.07.2021 08:00,"0,517"
04.07.2021 08:00,04.07.2021 09:00,"0,605"
04.07.2021 09:00,04.07.2021 10:00,"0,191"
04.07.2021 10:00,04.07.2021 11:00,"0,194"
04.07.2021 11:00,04.07.2021 12:00,"0,199"
04.07.2021 12:00,04.07.2021 13:00,"1,691"
04.07.2021 13:00,04.07.2021 14:00,"2,118"
04.07.2021 14:00,04.07.2021 15:00,"2,086"
04.07.2021 15:00,04.07.2021 16:00,"0,842"
04.07.2021 16:00,04.07.2021 17:00,"0,17"
04.07.2021 17:00,04.07.2021 18:00,"0,186"
04.07.2021 18:00,04.07.2021 19:00,"0,168"
04.07.2021 19:00,04.07.2021 20:00,"0,168"
04.07.2021 20:00,04.07.2021 21:00,"0,169"
04.07.2021 21:00,04.07.2021 22:00,"0,827"
04.07.2021 22:00,04.07.2021 23:00,"0,168"
04.07.2021 23:00,05.07.2021 00:00,"0,135"
05.07.2021 00:00,05.07.2021 01:00,"0,124"
05.07.2021 01:00,05.07.2021 02:00,"0,118"
05.07.2021 02:00,05.07.2021 03:00,"0,121"
05.07.2021 03:00,05.07.2021 04:00,"0,239"
05.07.2021 04:00,05.07.2021 05:00,"0,631"
05.07.2021 05:00,05.07.2021 06:00,"0,119"
05.07.2021 06:00,05.07.2021 07:00,"0,151"
05.07.2021 07:00,05.07.2021 08:00,"0,165"
05.07.2021 08:00,05.07.2021 09:00,"0,168"
05.07.2021 09:00,05.07.2021 10:00,"0,168"
05.07.2021 10:00,05.07.2021 11:00,"0,17"
05.07.2021 11:00,05.07.2021 12:00,"0,793"
05.07.2021 12:00,05.07.2021 13:00,"0,167"
05.07.2021 13:00,05.07.2021 14:00,"0,168"
05.07.2021 14:00,05.07.2021 15:00,"0,168"
05.07.2021 15:00,05.07.2021 16:00,"0,168"
05.07.2021 16:00,05.07.2021 17:00,"0,17"
05.07.2021 17:00,05.07.2021 18:00,"0,169"
05.07.2021 18:00,05.07.2021 19:00,"0,801"
05.07.2021 19:00,05.07.2021 20:00,"0,167"
05.07.2021 20:00,05.07.2021 21:00,"0,187"
05.07.2021 21:00,05.07.2021 22:00,"0,382"
05.07.2021 22:00,05.07.2021 23:00,"1,828"
05.07.2021 23:00,06.07.2021 00:00,"2,18"
06.07.2021 00:00,06.07.2021 01:00,"2,764"
06.07.2021 01:00,06.07.2021 02:00,"3,081"
06.07.2021 02:00,06.07.2021 03:00,"0,388"
06.07.2021 03:00,06.07.2021 04:00,"0,245"
