Fra,Til,KWH 60 Forbruk
01.02.2022 00:00,01.02.2022 01:00,"1,906"
01.02.2022 01:00,01.02.2022 02:00,"3,451"
01.02.2022 02:00,01.02.2022 03:00,"4,201"
01.02.2022 03:00,01.02.2022 04:00,"3,503"
01.02.2022 04:00,01.02.2022 05:00,"3,451"
01.02.2022 05:00,01.02.2022 06:00,"2,74"
01.02.2022 06:00,01.02.2022 07:00,"1,479"
01.02.2022 07:00,01.02.2022 08:00,"1,872"
01.02.2022 08:00,01.02.2022 09:00,"2,399"
01.02.2022 09:00,01.02.2022 10:00,"1,563"
01.02.2022 10:00,01.02.2022 11:00,"2,701"
01.02.2022 11:00,01.02.2022 12:00,"3,441"
01.02.2022 12:00,01.02.2022 13:00,"1,487"
01.02.2022 13:00,01.02.2022 14:00,"1,525"
01.02.2022 14:00,01.02.2022 15:00,"1,53"
01.02.2022 15:00,01.02.2022 16:00,"2,026"
01.02.2022 16:00,01.02.2022 17:00,"0,829"
01.02.2022 17:00,01.02.2022 18:00,"3,436"
01.02.2022 18:00,01.02.2022 19:00,"4,381"
01.02.2022 19:00,01.02.2022 20:00,"3,484"
01.02.2022 20:00,01.02.2022 21:00,"3,473"
01.02.2022 21:00,01.02.2022 22:00,"3,761"
01.02.2022 22:00,01.02.2022 23:00,"3,175"
01.02.2022 23:00,02.02.2022 00:00,"1,597"
02.02.2022 00:00,02.02.2022 01:00,"1,55"
02.02.2022 01:00,02.02.2022 02:00,"2,329"
02.02.2022 02:00,02.02.2022 03:00,"1,5"
02.02.2022 03:00,02.02.2022 04:00,"1,516"
02.02.2022 04:00,02.02.2022 05:00,"2,385"
02.02.2022 05:00,02.02.2022 06:00,"2,638"
02.02.2022 06:00,02.02.2022 07:00,"2,029"
02.02.2022 07:00,02.02.2022 08:00,"3,866"
02.02.2022 08:00,02.02.2022 09:00,"3,541"
02.02.2022 09:00,02.02.2022 10:00,"1,827"
02.02.2022 10:00,02.02.2022 11:00,"1,564"
02.02.2022 11:00,02.02.2022 12:00,"1,534"
02.02.2022 12:00,02.02.2022 13:00,"1,571"
02.02.2022 13:00,02.02.2022 14:00,"2,252"
02.02.2022 14:00,02.02.2022 15:00,"1,496"
02.02.2022 15:00,02.02.2022 16:00,"1,549"
02.02.2022 16:00,02.02.2022 17:00,"1,479"
02.02.2022 17:00,02.02.2022 18:00,"3,019"
02.02.2022 18:00,02.02.2022 19:00,"2,246"
02.02.2022 19:00,02.02.2022 20:00,"2,333"
02.02.2022 20:00,02.02.2022 21:00,"2,161"
02.02.2022 21:00,02.02.2022 22:00,"2,33"
02.02.2022 22:00,02.02.2022 23:00,"0,258"
02.02.2022 23:00,03.02.2022 00:00,"0,249"
03.02.2022 00:00,03.02.2022 01:00,"0,202"
03.02.2022 01:00,03.02.2022 02:00,"0,437"
03.02.2022 02:00,03.02.2022 03:00,"0,661"
03.02.2022 03:00,03.02.2022 04:00,"0,182"
03.02.2022 04:00,03.02.2022 05:00,"0,847"
03.02.2022 05:00,03.02.2022 06:00,"1,499"
03.02.2022 06:00,03.02.2022 07:00,"2,304"
03.02.2022 07:00,03.02.2022 08:00,"1,495"
03.02.2022 08:00,03.02.2022 09:00,"3,277"
03.02.2022 09:00,03.02.2022 10:00,"3,544"
03.02.2022 10:00,03.02.2022 11:00,"3,466"
03.02.2022 11:00,03.02.2022 12:00,"3,388"
03.02.2022 12:00,03.02.2022 13:00,"2,346"
03.02.2022 13:00,03.02.2022 14:00,"1,602"
03.02.2022 14:00,03.02.2022 15:00,"2,435"
03.02.2022 15:00,03.02.2022 16:00,"1,577"
03.02.2022 16:00,03.02.2022 17:00,"2,462"
03.02.2022 17:00,03.02.2022 18:00,"1,457"
03.02.2022 18:00,03.02.2022 19:00,"2,706"
03.02.2022 19:00,03.02.2022 20:00,"2,166"
03.02.2022 20:00,03.02.2022 21:00,"1,573"
03.02.2022 21:00,03.02.2022 22:00,"1,211"
03.02.2022 22:00,03.02.2022 23:00,"1,926"
03.02.2022 23:00,04.02.2022 00:00,"1,121"
04.02.2022 00:00,04.02.2022 01:00,"1,196"
04.02.2022 01:00,04.02.2022 02:00,"1,829"
04.02.2022 02:00,04.02.2022 03:00,"1,192"
04.02.2022 03:00,04.02.2022 04:00,"1,163"
04.02.2022 04:00,04.02.2022 05:00,"1,027"
04.02.2022 05:00,04.02.2022 06:00,"1,867"
04.02.2022 06:00,04.02.2022 07:00,"1,563"
04.02.2022 07:00,04.02.2022 08:00,"3,481"
04.02.2022 08:00,04.02.2022 09:00,"3,381"
04.02.2022 09:00,04.02.2022 10:00,"3,248"
04.02.2022 10:00,04.02.2022 11:00,"2,223"
04.02.2022 11:00,04.02.2022 12:00,"2,535"
04.02.2022 12:00,04.02.2022 13:00,"2,422"
04.02.2022 13:00,04.02.2022 14:00,"0,599"
04.02.2022 14:00,04.02.2022 15:00,"0,375"
04.02.2022 15:00,04.02.2022 16:00,"0,173"
04.02.2022 16:00,04.02.2022 17:00,"0,921"
04.02.2022 17:00,04.02.2022 18:00,"0,155"
04.02.2022 18:00,04.02.2022 19:00,"0,15"
04.02.2022 19:00,04.02.2022 20:00,"0,171"
04.02.2022 20:00,04.02.2022 21:00,"0,946"
04.02.2022 21:00,04.02.2022 22:00,"0,45"
04.02.2022 22:00,04.02.2022 23:00,"0,417"
04.02.2022 23:00,05.02.2022 00:00,"0,585"
05.02.2022 00:00,05.02.2022 01:00,"1,206"
05.02.2022 01:00,05.02.2022 02:00,"0,948"
05.02.2022 02:00,05.02.2022 03:00,"1,551"
05.02.2022 03:00,05.02.2022 04:00,"0,306"
05.02.2022 04:00,05.02.2022 05:00,"0,686"
05.02.2022 05:00,05.02.2022 06:00,"0,648"
05.02.2022 06:00,05.02.2022 07:00,"1,37"
05.02.2022 07:00,05.02.2022 08:00,"2,23"
05.02.2022 08:00,05.02.2022 09:00,"1,652"
05.02.2022 09:00,05.02.2022 10:00,"1,499"
05.02.2022 10:00,05.02.2022 11:00,"3,524"
05.02.2022 11:00,05.02.2022 12:00,"2,451"
05.02.2022 12:00,05.02.2022 13:00,"2,128"
05.02.2022 13:00,05.02.2022 14:00,"1,237"
05.02.2022 14:00,05.02.2022 15:00,"1,978"
05.02.2022 15:00,05.02.2022 16:00,"2,117"
05.02.2022 16:00,05.02.2022 17:00,"2,539"
05.02.2022 17:00,05.02.2022 18:00,"1,554"
05.02.2022 18:00,05.02.2022 19:00,"1,413"
05.02.2022 19:00,05.02.2022 20:00,"2,51"
05.02.2022 20:00,05.02.2022 21:00,"1,558"
05.02.2022 21:00,05.02.2022 22:00,"1,602"
05.02.2022 22:00,05.02.2022 23:00,"3,25"
05.02.2022 23:00,06.02.2022 00:00,"1,836"
06.02.2022 00:00,06.02.2022 01:00,"1,668"
06.02.2022 01:00,06.02.2022 02:00,"2,188"
06.02.2022 02:00,06.02.2022 03:00,"1,309"
06.02.2022 03:00,06.02.2022 04:00,"1,352"
06.02.2022 04:00,06.02.2022 05:00,"1,383"
06.02.2022 05:00,06.02.2022 06:00,"2,342"
06.02.2022 06:00,06.02.2022 07:00,"2,482"
06.02.2022 07:00,06.02.2022 08:00,"4,218"
06.02.2022 08:00,06.02.2022 09:00,"3,608"
06.02.2022 09:00,06.02.2022 10:00,"3,527"
06.02.2022 10:00,06.02.2022 11:00,"3,735"
06.02.2022 11:00,06.02.2022 12:00,"3,112"
06.02.2022 12:00,06.02.2022 13:00,"1,627"
06.02.2022 13:00,06.02.2022 14:00,"2,291"
06.02.2022 14:00,06.02.2022 15:00,"1,582"
06.02.2022 15:00,06.02.2022 16:00,"1,594"
06.02.2022 16:00,06.02.2022 17:00,"2,462"
06.02.2022 17:00,06.02.2022 18:00,"3,349"
06.02.2022 18:00,06.02.2022 19:00,"0,397"
06.02.2022 19:00,06.02.2022 20:00,"0,273"
06.02.2022 20:00,06.02.2022 21:00,"1,995"
06.02.2022 21:00,06.02.2022 22:00,"3,656"
06.02.2022 22:00,06.02.2022 23:00,"1,876"
06.02.2022 23:00,07.02.2022 00:00,"3,4"
07.02.2022 00:00,07.02.2022 01:00,"2,509"
07.02.2022 01:00,07.02.2022 02:00,"2,298"
07.02.2022 02:00,07.02.2022 03:00,"2,833"
07.02.2022 03:00,07.02.2022 04:00,"2,225"
07.02.2022 04:00,07.02.2022 05:00,"2,181"
07.02.2022 05:00,07.02.2022 06:00,"1,805"
07.02.2022 06:00,07.02.2022 07:00,"0,186"
07.02.2022 07:00,07.02.2022 08:00,"0,192"
07.02.2022 08:00,07.02.2022 09:00,"0,439"
07.02.2022 09:00,07.02.2022 10:00,"1,68"
07.02.2022 10:00,07.02.2022 11:00,"1,453"
07.02.2022 11:00,07.02.2022 12:00,"0,887"
07.02.2022 12:00,07.02.2022 13:00,"0,781"
07.02.2022 13:00,07.02.2022 14:00,"0,278"
07.02.2022 14:00,07.02.2022 15:00,"0,733"
07.02.2022 15:00,07.02.2022 16:00,"0,786"
07.02.2022 16:00,07.02.2022 17:00,"0,938"
07.02.2022 17:00,07.02.2022 18:00,"1,596"
07.02.2022 18:00,07.02.2022 19:00,"2,248"
07.02.2022 19:00,07.02.2022 20:00,"2,24"
07.02.2022 20:00,07.02.2022 21:00,"1,582"
07.02.2022 21:00,07.02.2022 22:00,"2,572"
07.02.2022 22:00,07.02.2022 23:00,"3,228"
07.02.2022 23:00,08.02.2022 00:00,"3,754"
08.02.2022 00:00,08.02.2022 01:00,"3,579"
08.02.2022 01:00,08.02.2022 02:00,"3,329"
08.02.2022 02:00,08.02.2022 03:00,"1,541"
08.02.2022 03:00,08.02.2022 04:00,"1,591"
08.02.2022 04:00,08.02.2022 05:00,"1,41"
08.02.2022 05:00,08.02.2022 06:00,"0,171"
08.02.2022 06:00,08.02.2022 07:00,"0,926"
08.02.2022 07:00,08.02.2022 08:00,"0,428"
08.02.2022 08:00,08.02.2022 09:00,"2,425"
08.02.2022 09:00,08.02.2022 10:00,"1,451"
08.02.2022 10:00,08.02.2022 11:00,"1,58"
08.02.2022 11:00,08.02.2022 12:00,"1,519"
08.02.2022 12:00,08.02.2022 13:00,"1,531"
08.02.2022 13:00,08.02.2022 14:00,"2,33"
08.02.2022 14:00,08.02.2022 15:00,"0,489"
08.02.2022 15:00,08.02.2022 16:00,"0,248"
08.02.2022 16:00,08.02.2022 17:00,"0,255"
08.02.2022 17:00,08.02.2022 18:00,"0,251"
08.02.2022 18:00,08.02.2022 19:00,"1,058"
08.02.2022 19:00,08.02.2022 20:00,"2,005"
08.02.2022 20:00,08.02.2022 21:00,"1,517"
08.02.2022 21:00,08.02.2022 22:00,"0,614"
08.02.2022 22:00,08.02.2022 23:00,"1,615"
08.02.2022 23:00,09.02.2022 00:00,"1,609"
09.02.2022 00:00,09.02.2022 01:00,"2,62"
09.02.2022 01:00,09.02.2022 02:00,"3,533"
09.02.2022 02:00,09.02.2022 03:00,"3,512"
09.02.2022 03:00,09.02.2022 04:00,"3,218"
09.02.2022 04:00,09.02.2022 05:00,"1,506"
09.02.2022 05:00,09.02.2022 06:00,"0,457"
09.02.2022 06:00,09.02.2022 07:00,"0,153"
09.02.2022 07:00,09.02.2022 08:00,"0,361"
09.02.2022 08:00,09.02.2022 09:00,"0,937"
09.02.2022 09:00,09.02.2022 10:00,"2,258"
09.02.2022 10:00,09.02.2022 11:00,"4,109"
09.02.2022 11:00,09.02.2022 12:00,"3,483"
09.02.2022 12:00,09.02.2022 13:00,"2,85"
09.02.2022 13:00,09.02.2022 14:00,"2,244"
09.02.2022 14:00,09.02.2022 15:00,"2,401"
09.02.2022 15:00,09.02.2022 16:00,"1,627"
09.02.2022 16:00,09.02.2022 17:00,"1,904"
09.02.2022 17:00,09.02.2022 18:00,"2,883"
09.02.2022 18:00,09.02.2022 19:00,"3,488"
09.02.2022 19:00,09.02.2022 20:00,"1,938"
09.02.2022 20:00,09.02.2022 21:00,"1,562"
09.02.2022 21:00,09.02.2022 22:00,"1,58"
09.02.2022 22:00,09.02.2022 23:00,"1,585"
09.02.2022 23:00,10.02.2022 00:00,"2,284"
10.02.2022 00:00,10.02.2022 01:00,"1,665"
10.02.2022 01:00,10.02.2022 02:00,"1,645"
10.02.2022 02:00,10.02.2022 03:00,"0,842"
10.02.2022 03:00,10.02.2022 04:00,"0,207"
10.02.2022 04:00,10.02.2022 05:00,"2,182"
10.02.2022 05:00,10.02.2022 06:00,"2,63"
10.02.2022 06:00,10.02.2022 07:00,"1,568"
10.02.2022 07:00,10.02.2022 08:00,"2,635"
10.02.2022 08:00,10.02.2022 09:00,"1,554"
10.02.2022 09:00,10.02.2022 10:00,"1,768"
10.02.2022 10:00,10.02.2022 11:00,"2,033"
10.02.2022 11:00,10.02.2022 12:00,"3,717"
10.02.2022 12:00,10.02.2022 13:00,"4,512"
10.02.2022 13:00,10.02.2022 14:00,"4,605"
10.02.2022 14:00,10.02.2022 15:00,"4,115"
10.02.2022 15:00,10.02.2022 16:00,"1,927"
10.02.2022 16:00,10.02.2022 17:00,"2,16"
10.02.2022 17:00,10.02.2022 18:00,"1,342"
10.02.2022 18:00,10.02.2022 19:00,"0,935"
10.02.2022 19:00,10.02.2022 20:00,"0,153"
10.02.2022 20:00,10.02.2022 21:00,"0,26"
10.02.2022 21:00,10.02.2022 22:00,"1,408"
10.02.2022 22:00,10.02.2022 23:00,"2,367"
10.02.2022 23:00,11.02.2022 00:00,"2,128"
11.02.2022 00:00,11.02.2022 01:00,"1,452"
11.02.2022 01:00,11.02.2022 02:00,"0,145"
11.02.2022 02:00,11.02.2022 03:00,"0,22"
11.02.2022 03:00,11.02.2022 04:00,"0,62"
11.02.2022 04:00,11.02.2022 05:00,"0,628"
11.02.2022 05:00,11.02.2022 06:00,"0,215"
11.02.2022 06:00,11.02.2022 07:00,"0,178"
11.02.2022 07:00,11.02.2022 08:00,"1,096"
11.02.2022 08:00,11.02.2022 09:00,"2,657"
11.02.2022 09:00,11.02.2022 10:00,"3,4"
11.02.2022 10:00,11.02.2022 11:00,"3,505"
11.02.2022 11:00,11.02.2022 12:00,"3,555"
11.02.2022 12:00,11.02.2022 13:00,"3,497"
11.02.2022 13:00,11.02.2022 14:00,"3,609"
11.02.2022 14:00,11.02.2022 15:00,"1,827"
11.02.2022 15:00,11.02.2022 16:00,"1,643"
11.02.2022 16:00,11.02.2022 17:00,"1,55"
11.02.2022 17:00,11.02.2022 18:00,"2,946"
11.02.2022 18:00,11.02.2022 19:00,"3,202"
11.02.2022 19:00,11.02.2022 20:00,"1,714"
11.02.2022 20:00,11.02.2022 21:00,"2,514"
11.02.2022 21:00,11.02.2022 22:00,"3,254"
11.02.2022 22:00,11.02.2022 23:00,"2,452"
11.02.2022 23:00,12.02.2022 00:00,"1,429"
12.02.2022 00:00,12.02.2022 01:00,"1,418"
12.02.2022 01:00,12.02.2022 02:00,"0,141"
12.02.2022 02:00,12.02.2022 03:00,"0,14"
12.02.2022 03:00,12.02.2022 04:00,"0,829"
12.02.2022 04:00,12.02.2022 05:00,"0,512"
12.02.2022 05:00,12.02.2022 06:00,"2,275"
12.02.2022 06:00,12.02.2022 07:00,"1,521"
12.02.2022 07:00,12.02.2022 08:00,"1,519"
12.02.2022 08:00,12.02.2022 09:00,"1,77"
12.02.2022 09:00,12.02.2022 10:00,"2,078"
12.02.2022 10:00,12.02.2022 11:00,"1,764"
12.02.2022 11:00,12.02.2022 12:00,"3,976"
12.02.2022 12:00,12.02.2022 13:00,"4,107"
12.02.2022 13:00,12.02.2022 14:00,"3,523"
12.02.2022 14:00,12.02.2022 15:00,"3,017"
12.02.2022 15:00,12.02.2022 16:00,"1,773"
12.02.2022 16:00,12.02.2022 17:00,"2,546"
12.02.2022 17:00,12.02.2022 18:00,"3,001"
12.02.2022 18:00,12.02.2022 19:00,"1,757"
12.02.2022 19:00,12.02.2022 20:00,"1,602"
12.02.2022 20:00,12.02.2022 21:00,"2,659"
12.02.2022 21:00,12.02.2022 22:00,"1,683"
12.02.2022 22:00,12.02.2022 23:00,"1,507"
12.02.2022 23:00,13.02.2022 00:00,"1,484"
13.02.2022 00:00,13.02.2022 01:00,"2,266"
13.02.2022 01:00,13.02.2022 02:00,"0,202"
13.02.2022 02:00,13.02.2022 03:00,"0,125"
13.02.2022 03:00,13.02.2022 04:00,"0,12"
13.02.2022 04:00,13.02.2022 05:00,"1,634"
13.02.2022 05:00,13.02.2022 06:00,"2,14"
13.02.2022 06:00,13.02.2022 07:00,"1,616"
13.02.2022 07:00,13.02.2022 08:00,"1,544"
13.02.2022 08:00,13.02.2022 09:00,"2,988"
13.02.2022 09:00,13.02.2022 10:00,"2,22"
13.02.2022 10:00,13.02.2022 11:00,"2,098"
13.02.2022 11:00,13.02.2022 12:00,"2,499"
13.02.2022 12:00,13.02.2022 13:00,"1,559"
13.02.2022 13:00,13.02.2022 14:00,"1,651"
13.02.2022 14:00,13.02.2022 15:00,"2,899"
13.02.2022 15:00,13.02.2022 16:00,"3,531"
13.02.2022 16:00,13.02.2022 17:00,"3,748"
13.02.2022 17:00,13.02.2022 18:00,"3,598"
13.02.2022 18:00,13.02.2022 19:00,"1,953"
13.02.2022 19:00,13.02.2022 20:00,"1,949"
13.02.2022 20:00,13.02.2022 21:00,"2,76"
13.02.2022 21:00,13.02.2022 22:00,"1,575"
13.02.2022 22:00,13.02.2022 23:00,"1,562"
13.02.2022 23:00,14.02.2022 00:00,"0,656"
14.02.2022 00:00,14.02.2022 01:00,"0,193"
14.02.2022 01:00,14.02.2022 02:00,"0,184"
14.02.2022 02:00,14.02.2022 03:00,"0,309"
14.02.2022 03:00,14.02.2022 04:00,"0,771"
14.02.2022 04:00,14.02.2022 05:00,"0,193"
14.02.2022 05:00,14.02.2022 06:00,"0,192"
14.02.2022 06:00,14.02.2022 07:00,"0,185"
14.02.2022 07:00,14.02.2022 08:00,"1,239"
14.02.2022 08:00,14.02.2022 09:00,"3,289"
14.02.2022 09:00,14.02.2022 10:00,"2,236"
14.02.2022 10:00,14.02.2022 11:00,"1,532"
14.02.2022 11:00,14.02.2022 12:00,"1,525"
14.02.2022 12:00,14.02.2022 13:00,"2,275"
14.02.2022 13:00,14.02.2022 14:00,"1,519"
14.02.2022 14:00,14.02.2022 15:00,"1,553"
14.02.2022 15:00,14.02.2022 16:00,"1,511"
14.02.2022 16:00,14.02.2022 17:00,"2,099"
14.02.2022 17:00,14.02.2022 18:00,"3,203"
14.02.2022 18:00,14.02.2022 19:00,"2,567"
14.02.2022 19:00,14.02.2022 20:00,"2,163"
14.02.2022 20:00,14.02.2022 21:00,"1,528"
14.02.2022 21:00,14.02.2022 22:00,"1,985"
14.02.2022 22:00,14.02.2022 23:00,"2,219"
14.02.2022 23:00,15.02.2022 00:00,"2,191"
15.02.2022 00:00,15.02.2022 01:00,"2,189"
15.02.2022 01:00,15.02.2022 02:00,"1,003"
15.02.2022 02:00,15.02.2022 03:00,"0,163"
15.02.2022 03:00,15.02.2022 04:00,"0,16"
15.02.2022 04:00,15.02.2022 05:00,"0,161"
15.02.2022 05:00,15.02.2022 06:00,"0,16"
15.02.2022 06:00,15.02.2022 07:00,"0,859"
15.02.2022 07:00,15.02.2022 08:00,"0,777"
15.02.2022 08:00,15.02.2022 09:00,"3,002"
