Fra,Til,KWH 60 Forbruk
01.01.2021 00:00,01.01.2021 01:00,"1,727"
01.01.2021 01:00,01.01.2021 02:00,"1,998"
01.01.2021 02:00,01.01.2021 03:00,"0,167"
01.01.2021 03:00,01.01.2021 04:00,"0,145"
01.01.2021 04:00,01.01.2021 05:00,"1,035"
01.01.2021 05:00,01.01.2021 06:00,"0,162"
01.01.2021 06:00,01.01.2021 07:00,"0,146"
01.01.2021 07:00,01.01.2021 08:00,"0,157"
01.01.2021 08:00,01.01.2021 09:00,"0,145"
01.01.2021 09:00,01.01.2021 10:00,"0,144"
01.01.2021 10:00,01.01.2021 11:00,"0,951"
01.01.2021 11:00,01.01.2021 12:00,"1,503"
01.01.2021 12:00,01.01.2021 13:00,"2,418"
01.01.2021 13:00,01.01.2021 14:00,"2,729"
01.01.2021 14:00,01.01.2021 15:00,"1,627"
01.01.2021 15:00,01.01.2021 16:00,"1,555"
01.01.2021 16:00,01.01.2021 17:00,"2,273"
01.01.2021 17:00,01.01.2021 18:00,"2,334"
01.01.2021 18:00,01.01.2021 19:00,"2,826"
01.01.2021 19:00,01.01.2021 20:00,"2,702"
01.01.2021 20:00,01.01.2021 21:00,"3,223"
01.01.2021 21:00,01.01.2021 22:00,"1,589"
01.01.2021 22:00,01.01.2021 23:00,"1,634"
01.01.2021 23:00,02.01.2021 00:00,"1,182"
02.01.2021 00:00,02.01.2021 01:00,"1,428"
02.01.2021 01:00,02.01.2021 02:00,"0,159"
02.01.2021 02:00,02.01.2021 03:00,"0,147"
02.01.2021 03:00,02.01.2021 04:00,"0,199"
02.01.2021 04:00,02.01.2021 05:00,"0,161"
02.01.2021 05:00,02.01.2021 06:00,"0,934"
02.01.2021 06:00,02.01.2021 07:00,"0,146"
02.01.2021 07:00,02.01.2021 08:00,"0,153"
02.01.2021 08:00,02.01.2021 09:00,"0,153"
02.01.2021 09:00,02.01.2021 10:00,"0,149"
02.01.2021 10:00,02.01.2021 11:00,"0,323"
02.01.2021 11:00,02.01.2021 12:00,"1,038"
02.01.2021 12:00,02.01.2021 13:00,"1,05"
02.01.2021 13:00,02.01.2021 14:00,"2,284"
02.01.2021 14:00,02.01.2021 15:00,"2,494"
02.01.2021 15:00,02.01.2021 16:00,"4,314"
02.01.2021 16:00,02.01.2021 17:00,"4,474"
02.01.2021 17:00,02.01.2021 18:00,"2,217"
02.01.2021 18:00,02.01.2021 19:00,"1,649"
02.01.2021 19:00,02.01.2021 20:00,"1,579"
02.01.2021 20:00,02.01.2021 21:00,"2,525"
02.01.2021 21:00,02.01.2021 22:00,"2,681"
02.01.2021 22:00,02.01.2021 23:00,"1,64"
02.01.2021 23:00,03.01.2021 00:00,"2,176"
03.01.2021 00:00,03.01.2021 01:00,"3,577"
03.01.2021 01:00,03.01.2021 02:00,"3,503"
03.01.2021 02:00,03.01.2021 03:00,"1,779"
03.01.2021 03:00,03.01.2021 04:00,"0,786"
03.01.2021 04:00,03.01.2021 05:00,"1,301"
03.01.2021 05:00,03.01.2021 06:00,"0,186"
03.01.2021 06:00,03.01.2021 07:00,"0,178"
03.01.2021 07:00,03.01.2021 08:00,"0,151"
03.01.2021 08:00,03.01.2021 09:00,"0,148"
03.01.2021 09:00,03.01.2021 10:00,"0,944"
03.01.2021 10:00,03.01.2021 11:00,"0,151"
