Fra,Til,KWH 60 Forbruk
01.04.2022 00:00,01.04.2022 01:00,"3,71"
01.04.2022 01:00,01.04.2022 02:00,"4,274"
01.04.2022 02:00,01.04.2022 03:00,"3,926"
01.04.2022 03:00,01.04.2022 04:00,"2,389"
01.04.2022 04:00,01.04.2022 05:00,"1,495"
01.04.2022 05:00,01.04.2022 06:00,"1,482"
01.04.2022 06:00,01.04.2022 07:00,"2,076"
01.04.2022 07:00,01.04.2022 08:00,"1,51"
01.04.2022 08:00,01.04.2022 09:00,"1,711"
01.04.2022 09:00,01.04.2022 10:00,"1,645"
01.04.2022 10:00,01.04.2022 11:00,"2,246"
01.04.2022 11:00,01.04.2022 12:00,"0,575"
01.04.2022 12:00,01.04.2022 13:00,"0,903"
01.04.2022 13:00,01.04.2022 14:00,"0,303"
01.04.2022 14:00,01.04.2022 15:00,"0,41"
01.04.2022 15:00,01.04.2022 16:00,"0,289"
01.04.2022 16:00,01.04.2022 17:00,"1,691"
01.04.2022 17:00,01.04.2022 18:00,"1,133"
01.04.2022 18:00,01.04.2022 19:00,"0,959"
01.04.2022 19:00,01.04.2022 20:00,"1,796"
01.04.2022 20:00,01.04.2022 21:00,"3,566"
01.04.2022 21:00,01.04.2022 22:00,"4,141"
01.04.2022 22:00,01.04.2022 23:00,"3,6"
01.04.2022 23:00,02.04.2022 00:00,"3,562"
02.04.2022 00:00,02.04.2022 01:00,"1,558"
02.04.2022 01:00,02.04.2022 02:00,"1,634"
02.04.2022 02:00,02.04.2022 03:00,"2,514"
02.04.2022 03:00,02.04.2022 04:00,"2,22"
02.04.2022 04:00,02.04.2022 05:00,"0,436"
02.04.2022 05:00,02.04.2022 06:00,"0,307"
02.04.2022 06:00,02.04.2022 07:00,"0,894"
02.04.2022 07:00,02.04.2022 08:00,"0,996"
02.04.2022 08:00,02.04.2022 09:00,"1,238"
02.04.2022 09:00,02.04.2022 10:00,"0,393"
02.04.2022 10:00,02.04.2022 11:00,"0,226"
02.04.2022 11:00,02.04.2022 12:00,"0,887"
02.04.2022 12:00,02.04.2022 13:00,"0,693"
02.04.2022 13:00,02.04.2022 14:00,"0,889"
02.04.2022 14:00,02.04.2022 15:00,"1,266"
02.04.2022 15:00,02.04.2022 16:00,"0,453"
02.04.2022 16:00,02.04.2022 17:00,"2,473"
02.04.2022 17:00,02.04.2022 18:00,"3,678"
02.04.2022 18:00,02.04.2022 19:00,"1,781"
02.04.2022 19:00,02.04.2022 20:00,"2,161"
02.04.2022 20:00,02.04.2022 21:00,"1,679"
02.04.2022 21:00,02.04.2022 22:00,"2,516"
02.04.2022 22:00,02.04.2022 23:00,"1,691"
02.04.2022 23:00,03.04.2022 00:00,"1,615"
03.04.2022 00:00,03.04.2022 01:00,"1,554"
03.04.2022 01:00,03.04.2022 02:00,"2,479"
03.04.2022 02:00,03.04.2022 03:00,"1,587"
03.04.2022 03:00,03.04.2022 04:00,"1,524"
03.04.2022 04:00,03.04.2022 05:00,"1,497"
03.04.2022 05:00,03.04.2022 06:00,"1,478"
03.04.2022 06:00,03.04.2022 07:00,"1,412"
03.04.2022 07:00,03.04.2022 08:00,"0,131"
03.04.2022 08:00,03.04.2022 09:00,"0,212"
03.04.2022 09:00,03.04.2022 10:00,"0,432"
03.04.2022 10:00,03.04.2022 11:00,"1,077"
03.04.2022 11:00,03.04.2022 12:00,"0,215"
03.04.2022 12:00,03.04.2022 13:00,"0,206"
03.04.2022 13:00,03.04.2022 14:00,"0,203"
03.04.2022 14:00,03.04.2022 15:00,"0,348"
03.04.2022 15:00,03.04.2022 16:00,"0,792"
03.04.2022 16:00,03.04.2022 17:00,"0,216"
03.04.2022 17:00,03.04.2022 18:00,"0,209"
03.04.2022 18:00,03.04.2022 19:00,"0,942"
03.04.2022 19:00,03.04.2022 20:00,"3,701"
03.04.2022 20:00,03.04.2022 21:00,"1,68"
03.04.2022 21:00,03.04.2022 22:00,"2,989"
03.04.2022 22:00,03.04.2022 23:00,"4,48"
03.04.2022 23:00,04.04.2022 00:00,"3,839"
04.04.2022 00:00,04.04.2022 01:00,"3,524"
04.04.2022 01:00,04.04.2022 02:00,"2,632"
04.04.2022 02:00,04.04.2022 03:00,"2,386"
04.04.2022 03:00,04.04.2022 04:00,"1,624"
04.04.2022 04:00,04.04.2022 05:00,"2,264"
04.04.2022 05:00,04.04.2022 06:00,"2,311"
04.04.2022 06:00,04.04.2022 07:00,"2,581"
04.04.2022 07:00,04.04.2022 08:00,"1,49"
04.04.2022 08:00,04.04.2022 09:00,"2,76"
04.04.2022 09:00,04.04.2022 10:00,"3,723"
04.04.2022 10:00,04.04.2022 11:00,"3,553"
04.04.2022 11:00,04.04.2022 12:00,"3,234"
04.04.2022 12:00,04.04.2022 13:00,"1,602"
04.04.2022 13:00,04.04.2022 14:00,"1,607"
04.04.2022 14:00,04.04.2022 15:00,"1,588"
04.04.2022 15:00,04.04.2022 16:00,"1,583"
04.04.2022 16:00,04.04.2022 17:00,"2,279"
04.04.2022 17:00,04.04.2022 18:00,"1,615"
04.04.2022 18:00,04.04.2022 19:00,"1,856"
04.04.2022 19:00,04.04.2022 20:00,"1,931"
04.04.2022 20:00,04.04.2022 21:00,"2,303"
04.04.2022 21:00,04.04.2022 22:00,"1,61"
04.04.2022 22:00,04.04.2022 23:00,"2,873"
04.04.2022 23:00,05.04.2022 00:00,"2,425"
05.04.2022 00:00,05.04.2022 01:00,"1,529"
05.04.2022 01:00,05.04.2022 02:00,"1,545"
05.04.2022 02:00,05.04.2022 03:00,"1,515"
05.04.2022 03:00,05.04.2022 04:00,"2,26"
05.04.2022 04:00,05.04.2022 05:00,"1,82"
05.04.2022 05:00,05.04.2022 06:00,"1,56"
05.04.2022 06:00,05.04.2022 07:00,"2,776"
05.04.2022 07:00,05.04.2022 08:00,"4,523"
05.04.2022 08:00,05.04.2022 09:00,"3,658"
05.04.2022 09:00,05.04.2022 10:00,"3,59"
05.04.2022 10:00,05.04.2022 11:00,"4,267"
05.04.2022 11:00,05.04.2022 12:00,"3,541"
05.04.2022 12:00,05.04.2022 13:00,"2,428"
05.04.2022 13:00,05.04.2022 14:00,"1,754"
05.04.2022 14:00,05.04.2022 15:00,"1,679"
05.04.2022 15:00,05.04.2022 16:00,"1,603"
05.04.2022 16:00,05.04.2022 17:00,"2,404"
05.04.2022 17:00,05.04.2022 18:00,"1,592"
05.04.2022 18:00,05.04.2022 19:00,"1,586"
05.04.2022 19:00,05.04.2022 20:00,"1,55"
05.04.2022 20:00,05.04.2022 21:00,"2,303"
05.04.2022 21:00,05.04.2022 22:00,"2,126"
