Fra,Til,KWH 60 Forbruk
01.01.2020 00:00,01.01.2020 01:00,"1,812"
01.01.2020 01:00,01.01.2020 02:00,"3,93"
01.01.2020 02:00,01.01.2020 03:00,"4,08"
01.01.2020 03:00,01.01.2020 04:00,"3,657"
01.01.2020 04:00,01.01.2020 05:00,"2,95"
01.01.2020 05:00,01.01.2020 06:00,"1,562"
01.01.2020 06:00,01.01.2020 07:00,"0,336"
01.01.2020 07:00,01.01.2020 08:00,"0,317"
01.01.2020 08:00,01.01.2020 09:00,"1,136"
01.01.2020 09:00,01.01.2020 10:00,"0,331"
01.01.2020 10:00,01.01.2020 11:00,"0,333"
01.01.2020 11:00,01.01.2020 12:00,"0,337"
01.01.2020 12:00,01.01.2020 13:00,"0,337"
01.01.2020 13:00,01.01.2020 14:00,"0,34"
01.01.2020 14:00,01.01.2020 15:00,"0,581"
01.01.2020 15:00,01.01.2020 16:00,"2,238"
01.01.2020 16:00,01.01.2020 17:00,"1,943"
01.01.2020 17:00,01.01.2020 18:00,"3,745"
01.01.2020 18:00,01.01.2020 19:00,"2,74"
01.01.2020 19:00,01.01.2020 20:00,"1,632"
01.01.2020 20:00,01.01.2020 21:00,"1,71"
01.01.2020 21:00,01.01.2020 22:00,"0,93"
01.01.2020 22:00,01.01.2020 23:00,"2,35"
01.01.2020 23:00,02.01.2020 00:00,"1,052"
02.01.2020 00:00,02.01.2020 01:00,"1,839"
02.01.2020 01:00,02.01.2020 02:00,"2,165"
02.01.2020 02:00,02.01.2020 03:00,"1,44"
02.01.2020 03:00,02.01.2020 04:00,"0,593"
02.01.2020 04:00,02.01.2020 05:00,"0,892"
02.01.2020 05:00,02.01.2020 06:00,"0,522"
02.01.2020 06:00,02.01.2020 07:00,"0,509"
02.01.2020 07:00,02.01.2020 08:00,"1,267"
02.01.2020 08:00,02.01.2020 09:00,"0,492"
02.01.2020 09:00,02.01.2020 10:00,"0,518"
02.01.2020 10:00,02.01.2020 11:00,"0,52"
02.01.2020 11:00,02.01.2020 12:00,"0,518"
02.01.2020 12:00,02.01.2020 13:00,"0,531"
02.01.2020 13:00,02.01.2020 14:00,"1,946"
02.01.2020 14:00,02.01.2020 15:00,"0,616"
02.01.2020 15:00,02.01.2020 16:00,"0,556"
02.01.2020 16:00,02.01.2020 17:00,"0,713"
02.01.2020 17:00,02.01.2020 18:00,"0,539"
02.01.2020 18:00,02.01.2020 19:00,"0,594"
02.01.2020 19:00,02.01.2020 20:00,"2,419"
02.01.2020 20:00,02.01.2020 21:00,"1,965"
02.01.2020 21:00,02.01.2020 22:00,"1,676"
02.01.2020 22:00,02.01.2020 23:00,"1,681"
02.01.2020 23:00,03.01.2020 00:00,"1,658"
03.01.2020 00:00,03.01.2020 01:00,"1,683"
03.01.2020 01:00,03.01.2020 02:00,"2,663"
03.01.2020 02:00,03.01.2020 03:00,"1,823"
03.01.2020 03:00,03.01.2020 04:00,"1,794"
03.01.2020 04:00,03.01.2020 05:00,"1,972"
03.01.2020 05:00,03.01.2020 06:00,"0,64"
03.01.2020 06:00,03.01.2020 07:00,"0,497"
03.01.2020 07:00,03.01.2020 08:00,"0,492"
03.01.2020 08:00,03.01.2020 09:00,"0,958"
03.01.2020 09:00,03.01.2020 10:00,"2,151"
03.01.2020 10:00,03.01.2020 11:00,"2,561"
03.01.2020 11:00,03.01.2020 12:00,"2,343"
03.01.2020 12:00,03.01.2020 13:00,"0,6"
03.01.2020 13:00,03.01.2020 14:00,"0,853"
03.01.2020 14:00,03.01.2020 15:00,"1,854"
03.01.2020 15:00,03.01.2020 16:00,"3,602"
03.01.2020 16:00,03.01.2020 17:00,"1,843"
03.01.2020 17:00,03.01.2020 18:00,"1,833"
03.01.2020 18:00,03.01.2020 19:00,"1,752"
03.01.2020 19:00,03.01.2020 20:00,"1,697"
03.01.2020 20:00,03.01.2020 21:00,"2,639"
03.01.2020 21:00,03.01.2020 22:00,"1,169"
03.01.2020 22:00,03.01.2020 23:00,"0,471"
03.01.2020 23:00,04.01.2020 00:00,"1,385"
04.01.2020 00:00,04.01.2020 01:00,"1,73"
04.01.2020 01:00,04.01.2020 02:00,"1,717"
