Fra,Til,KWH 60 Forbruk
01.04.2019 00:00,01.04.2019 01:00,"1,606"
01.04.2019 01:00,01.04.2019 02:00,"1,596"
01.04.2019 02:00,01.04.2019 03:00,"1,928"
01.04.2019 03:00,01.04.2019 04:00,"2,33"
01.04.2019 04:00,01.04.2019 05:00,"1,556"
01.04.2019 05:00,01.04.2019 06:00,"1,553"
01.04.2019 06:00,01.04.2019 07:00,"0,769"
01.04.2019 07:00,01.04.2019 08:00,"0,263"
01.04.2019 08:00,01.04.2019 09:00,"0,868"
01.04.2019 09:00,01.04.2019 10:00,"0,186"
01.04.2019 10:00,01.04.2019 11:00,"0,176"
01.04.2019 11:00,01.04.2019 12:00,"0,173"
01.04.2019 12:00,01.04.2019 13:00,"0,177"
01.04.2019 13:00,01.04.2019 14:00,"0,186"
01.04.2019 14:00,01.04.2019 15:00,"3,36"
01.04.2019 15:00,01.04.2019 16:00,"3,843"
01.04.2019 16:00,01.04.2019 17:00,"3,144"
01.04.2019 17:00,01.04.2019 18:00,"2,049"
01.04.2019 18:00,01.04.2019 19:00,"1,853"
01.04.2019 19:00,01.04.2019 20:00,"2,877"
01.04.2019 20:00,01.04.2019 21:00,"3,569"
01.04.2019 21:00,01.04.2019 22:00,"1,954"
01.04.2019 22:00,01.04.2019 23:00,"1,692"
01.04.2019 23:00,02.04.2019 00:00,"1,614"
02.04.2019 00:00,02.04.2019 01:00,"2,376"
02.04.2019 01:00,02.04.2019 02:00,"1,706"
02.04.2019 02:00,02.04.2019 03:00,"1,584"
02.04.2019 03:00,02.04.2019 04:00,"1,789"
02.04.2019 04:00,02.04.2019 05:00,"1,582"
02.04.2019 05:00,02.04.2019 06:00,"1,628"
02.04.2019 06:00,02.04.2019 07:00,"1,097"
02.04.2019 07:00,02.04.2019 08:00,"3,346"
02.04.2019 08:00,02.04.2019 09:00,"1,266"
02.04.2019 09:00,02.04.2019 10:00,"0,228"
02.04.2019 10:00,02.04.2019 11:00,"0,215"
02.04.2019 11:00,02.04.2019 12:00,"0,217"
02.04.2019 12:00,02.04.2019 13:00,"0,21"
02.04.2019 13:00,02.04.2019 14:00,"1,076"
02.04.2019 14:00,02.04.2019 15:00,"1,761"
02.04.2019 15:00,02.04.2019 16:00,"4,504"
02.04.2019 16:00,02.04.2019 17:00,"3,57"
02.04.2019 17:00,02.04.2019 18:00,"3,529"
02.04.2019 18:00,02.04.2019 19:00,"4,502"
02.04.2019 19:00,02.04.2019 20:00,"2,631"
02.04.2019 20:00,02.04.2019 21:00,"2,34"
02.04.2019 21:00,02.04.2019 22:00,"1,724"
02.04.2019 22:00,02.04.2019 23:00,"2,261"
02.04.2019 23:00,03.04.2019 00:00,"1,865"
03.04.2019 00:00,03.04.2019 01:00,"1,621"
03.04.2019 01:00,03.04.2019 02:00,"1,649"
03.04.2019 02:00,03.04.2019 03:00,"1,604"
03.04.2019 03:00,03.04.2019 04:00,"1,608"
03.04.2019 04:00,03.04.2019 05:00,"1,096"
03.04.2019 05:00,03.04.2019 06:00,"0,281"
03.04.2019 06:00,03.04.2019 07:00,"0,268"
03.04.2019 07:00,03.04.2019 08:00,"1,906"
03.04.2019 08:00,03.04.2019 09:00,"2,192"
