Fra,Til,KWH 60 Forbruk
01.03.2022 00:00,01.03.2022 01:00,"0,885"
01.03.2022 01:00,01.03.2022 02:00,"0,217"
01.03.2022 02:00,01.03.2022 03:00,"0,316"
01.03.2022 03:00,01.03.2022 04:00,"0,55"
01.03.2022 04:00,01.03.2022 05:00,"0,674"
01.03.2022 05:00,01.03.2022 06:00,"0,127"
01.03.2022 06:00,01.03.2022 07:00,"0,136"
01.03.2022 07:00,01.03.2022 08:00,"0,163"
01.03.2022 08:00,01.03.2022 09:00,"1,278"
01.03.2022 09:00,01.03.2022 10:00,"1,992"
01.03.2022 10:00,01.03.2022 11:00,"2,197"
01.03.2022 11:00,01.03.2022 12:00,"1,035"
01.03.2022 12:00,01.03.2022 13:00,"1,563"
01.03.2022 13:00,01.03.2022 14:00,"1,67"
01.03.2022 14:00,01.03.2022 15:00,"2,343"
01.03.2022 15:00,01.03.2022 16:00,"1,528"
01.03.2022 16:00,01.03.2022 17:00,"2,492"
01.03.2022 17:00,01.03.2022 18:00,"2,445"
01.03.2022 18:00,01.03.2022 19:00,"1,817"
01.03.2022 19:00,01.03.2022 20:00,"1,621"
01.03.2022 20:00,01.03.2022 21:00,"2,692"
01.03.2022 21:00,01.03.2022 22:00,"3,528"
01.03.2022 22:00,01.03.2022 23:00,"2,556"
01.03.2022 23:00,02.03.2022 00:00,"1,097"
02.03.2022 00:00,02.03.2022 01:00,"0,139"
02.03.2022 01:00,02.03.2022 02:00,"0,145"
02.03.2022 02:00,02.03.2022 03:00,"0,142"
02.03.2022 03:00,02.03.2022 04:00,"0,14"
02.03.2022 04:00,02.03.2022 05:00,"0,898"
02.03.2022 05:00,02.03.2022 06:00,"0,154"
02.03.2022 06:00,02.03.2022 07:00,"0,152"
02.03.2022 07:00,02.03.2022 08:00,"0,409"
02.03.2022 08:00,02.03.2022 09:00,"1,851"
02.03.2022 09:00,02.03.2022 10:00,"2,718"
02.03.2022 10:00,02.03.2022 11:00,"2,122"
02.03.2022 11:00,02.03.2022 12:00,"2,126"
02.03.2022 12:00,02.03.2022 13:00,"1,445"
02.03.2022 13:00,02.03.2022 14:00,"1,506"
02.03.2022 14:00,02.03.2022 15:00,"1,857"
02.03.2022 15:00,02.03.2022 16:00,"2,147"
02.03.2022 16:00,02.03.2022 17:00,"1,601"
02.03.2022 17:00,02.03.2022 18:00,"1,569"
02.03.2022 18:00,02.03.2022 19:00,"2,512"
02.03.2022 19:00,02.03.2022 20:00,"2,191"
02.03.2022 20:00,02.03.2022 21:00,"4,437"
02.03.2022 21:00,02.03.2022 22:00,"4,542"
02.03.2022 22:00,02.03.2022 23:00,"3,6"
02.03.2022 23:00,03.03.2022 00:00,"1,778"
03.03.2022 00:00,03.03.2022 01:00,"1,646"
03.03.2022 01:00,03.03.2022 02:00,"1,524"
03.03.2022 02:00,03.03.2022 03:00,"1,648"
03.03.2022 03:00,03.03.2022 04:00,"1,996"
03.03.2022 04:00,03.03.2022 05:00,"1,503"
03.03.2022 05:00,03.03.2022 06:00,"1,208"
03.03.2022 06:00,03.03.2022 07:00,"0,844"
03.03.2022 07:00,03.03.2022 08:00,"0,179"
03.03.2022 08:00,03.03.2022 09:00,"0,467"
03.03.2022 09:00,03.03.2022 10:00,"2,396"
03.03.2022 10:00,03.03.2022 11:00,"2,042"
03.03.2022 11:00,03.03.2022 12:00,"0,505"
03.03.2022 12:00,03.03.2022 13:00,"1,136"
03.03.2022 13:00,03.03.2022 14:00,"0,728"
03.03.2022 14:00,03.03.2022 15:00,"0,177"
03.03.2022 15:00,03.03.2022 16:00,"0,988"
03.03.2022 16:00,03.03.2022 17:00,"0,37"
03.03.2022 17:00,03.03.2022 18:00,"0,399"
03.03.2022 18:00,03.03.2022 19:00,"0,369"
03.03.2022 19:00,03.03.2022 20:00,"0,474"
03.03.2022 20:00,03.03.2022 21:00,"0,998"
03.03.2022 21:00,03.03.2022 22:00,"0,513"
03.03.2022 22:00,03.03.2022 23:00,"0,33"
03.03.2022 23:00,04.03.2022 00:00,"1,459"
04.03.2022 00:00,04.03.2022 01:00,"1,483"
04.03.2022 01:00,04.03.2022 02:00,"1,578"
04.03.2022 02:00,04.03.2022 03:00,"0,937"
04.03.2022 03:00,04.03.2022 04:00,"0,58"
04.03.2022 04:00,04.03.2022 05:00,"0,429"
04.03.2022 05:00,04.03.2022 06:00,"0,124"
04.03.2022 06:00,04.03.2022 07:00,"0,123"
04.03.2022 07:00,04.03.2022 08:00,"0,376"
04.03.2022 08:00,04.03.2022 09:00,"0,773"
04.03.2022 09:00,04.03.2022 10:00,"1,908"
04.03.2022 10:00,04.03.2022 11:00,"2,154"
04.03.2022 11:00,04.03.2022 12:00,"2,153"
04.03.2022 12:00,04.03.2022 13:00,"1,404"
04.03.2022 13:00,04.03.2022 14:00,"0,208"
04.03.2022 14:00,04.03.2022 15:00,"1,75"
04.03.2022 15:00,04.03.2022 16:00,"2,892"
04.03.2022 16:00,04.03.2022 17:00,"3,534"
04.03.2022 17:00,04.03.2022 18:00,"3,476"
04.03.2022 18:00,04.03.2022 19:00,"2,847"
04.03.2022 19:00,04.03.2022 20:00,"2,588"
04.03.2022 20:00,04.03.2022 21:00,"1,684"
04.03.2022 21:00,04.03.2022 22:00,"3,157"
04.03.2022 22:00,04.03.2022 23:00,"2,545"
04.03.2022 23:00,05.03.2022 00:00,"1,633"
05.03.2022 00:00,05.03.2022 01:00,"1,528"
05.03.2022 01:00,05.03.2022 02:00,"2,36"
05.03.2022 02:00,05.03.2022 03:00,"2,01"
05.03.2022 03:00,05.03.2022 04:00,"1,671"
05.03.2022 04:00,05.03.2022 05:00,"1,487"
05.03.2022 05:00,05.03.2022 06:00,"0,276"
05.03.2022 06:00,05.03.2022 07:00,"0,125"
05.03.2022 07:00,05.03.2022 08:00,"0,82"
05.03.2022 08:00,05.03.2022 09:00,"0,157"
