Fra,Til,KWH 60 Forbruk
01.06.2022 00:00,01.06.2022 01:00,"0,156"
01.06.2022 01:00,01.06.2022 02:00,"0,146"
01.06.2022 02:00,01.06.2022 03:00,"0,145"
01.06.2022 03:00,01.06.2022 04:00,"0,139"
01.06.2022 04:00,01.06.2022 05:00,"0,791"
01.06.2022 05:00,01.06.2022 06:00,"0,268"
01.06.2022 06:00,01.06.2022 07:00,"0,168"
01.06.2022 07:00,01.06.2022 08:00,"0,214"
01.06.2022 08:00,01.06.2022 09:00,"0,211"
01.06.2022 09:00,01.06.2022 10:00,"0,569"
01.06.2022 10:00,01.06.2022 11:00,"0,887"
01.06.2022 11:00,01.06.2022 12:00,"0,373"
01.06.2022 12:00,01.06.2022 13:00,"0,447"
01.06.2022 13:00,01.06.2022 14:00,"1,678"
01.06.2022 14:00,01.06.2022 15:00,"0,573"
01.06.2022 15:00,01.06.2022 16:00,"0,382"
01.06.2022 16:00,01.06.2022 17:00,"1,171"
01.06.2022 17:00,01.06.2022 18:00,"1,435"
01.06.2022 18:00,01.06.2022 19:00,"0,509"
01.06.2022 19:00,01.06.2022 20:00,"0,347"
01.06.2022 20:00,01.06.2022 21:00,"0,478"
01.06.2022 21:00,01.06.2022 22:00,"1,169"
01.06.2022 22:00,01.06.2022 23:00,"1,754"
01.06.2022 23:00,02.06.2022 00:00,"2,575"
02.06.2022 00:00,02.06.2022 01:00,"2,152"
02.06.2022 01:00,02.06.2022 02:00,"0,925"
02.06.2022 02:00,02.06.2022 03:00,"0,143"
02.06.2022 03:00,02.06.2022 04:00,"0,141"
02.06.2022 04:00,02.06.2022 05:00,"0,173"
02.06.2022 05:00,02.06.2022 06:00,"0,148"
02.06.2022 06:00,02.06.2022 07:00,"0,554"
02.06.2022 07:00,02.06.2022 08:00,"0,417"
02.06.2022 08:00,02.06.2022 09:00,"0,208"
02.06.2022 09:00,02.06.2022 10:00,"0,425"
02.06.2022 10:00,02.06.2022 11:00,"1,275"
02.06.2022 11:00,02.06.2022 12:00,"0,336"
02.06.2022 12:00,02.06.2022 13:00,"1,28"
02.06.2022 13:00,02.06.2022 14:00,"0,964"
02.06.2022 14:00,02.06.2022 15:00,"1,061"
02.06.2022 15:00,02.06.2022 16:00,"0,409"
02.06.2022 16:00,02.06.2022 17:00,"0,575"
02.06.2022 17:00,02.06.2022 18:00,"2,201"
02.06.2022 18:00,02.06.2022 19:00,"2,207"
02.06.2022 19:00,02.06.2022 20:00,"3,265"
02.06.2022 20:00,02.06.2022 21:00,"3,115"
02.06.2022 21:00,02.06.2022 22:00,"0,699"
02.06.2022 22:00,02.06.2022 23:00,"2,342"
02.06.2022 23:00,03.06.2022 00:00,"2,601"
03.06.2022 00:00,03.06.2022 01:00,"0,259"
03.06.2022 01:00,03.06.2022 02:00,"0,152"
03.06.2022 02:00,03.06.2022 03:00,"0,141"
03.06.2022 03:00,03.06.2022 04:00,"0,672"
03.06.2022 04:00,03.06.2022 05:00,"0,416"
03.06.2022 05:00,03.06.2022 06:00,"0,143"
03.06.2022 06:00,03.06.2022 07:00,"0,161"
03.06.2022 07:00,03.06.2022 08:00,"0,197"
03.06.2022 08:00,03.06.2022 09:00,"0,2"
03.06.2022 09:00,03.06.2022 10:00,"1,123"
03.06.2022 10:00,03.06.2022 11:00,"2,098"
03.06.2022 11:00,03.06.2022 12:00,"1,502"
03.06.2022 12:00,03.06.2022 13:00,"0,554"
03.06.2022 13:00,03.06.2022 14:00,"0,264"
03.06.2022 14:00,03.06.2022 15:00,"2,008"
03.06.2022 15:00,03.06.2022 16:00,"0,389"
03.06.2022 16:00,03.06.2022 17:00,"0,391"
03.06.2022 17:00,03.06.2022 18:00,"0,556"
03.06.2022 18:00,03.06.2022 19:00,"1,012"
03.06.2022 19:00,03.06.2022 20:00,"0,376"
03.06.2022 20:00,03.06.2022 21:00,"0,357"
03.06.2022 21:00,03.06.2022 22:00,"0,358"
03.06.2022 22:00,03.06.2022 23:00,"0,294"
03.06.2022 23:00,04.06.2022 00:00,"0,924"
04.06.2022 00:00,04.06.2022 01:00,"0,285"
04.06.2022 01:00,04.06.2022 02:00,"0,254"
04.06.2022 02:00,04.06.2022 03:00,"0,608"
04.06.2022 03:00,04.06.2022 04:00,"0,505"
04.06.2022 04:00,04.06.2022 05:00,"0,173"
04.06.2022 05:00,04.06.2022 06:00,"0,179"
04.06.2022 06:00,04.06.2022 07:00,"0,178"
04.06.2022 07:00,04.06.2022 08:00,"0,891"
04.06.2022 08:00,04.06.2022 09:00,"0,234"
04.06.2022 09:00,04.06.2022 10:00,"0,23"
04.06.2022 10:00,04.06.2022 11:00,"0,458"
04.06.2022 11:00,04.06.2022 12:00,"1,066"
04.06.2022 12:00,04.06.2022 13:00,"0,303"
04.06.2022 13:00,04.06.2022 14:00,"2,156"
04.06.2022 14:00,04.06.2022 15:00,"0,563"
