Fra,Til,KWH 60 Forbruk
01.07.2022 00:00,01.07.2022 01:00,"0,219"
01.07.2022 01:00,01.07.2022 02:00,"0,217"
01.07.2022 02:00,01.07.2022 03:00,"0,245"
01.07.2022 03:00,01.07.2022 04:00,"2,101"
01.07.2022 04:00,01.07.2022 05:00,"0,642"
01.07.2022 05:00,01.07.2022 06:00,"0,343"
01.07.2022 06:00,01.07.2022 07:00,"1,687"
01.07.2022 07:00,01.07.2022 08:00,"0,402"
01.07.2022 08:00,01.07.2022 09:00,"0,587"
01.07.2022 09:00,01.07.2022 10:00,"2,212"
01.07.2022 10:00,01.07.2022 11:00,"2,2"
01.07.2022 11:00,01.07.2022 12:00,"2,245"
01.07.2022 12:00,01.07.2022 13:00,"2,736"
01.07.2022 13:00,01.07.2022 14:00,"0,619"
01.07.2022 14:00,01.07.2022 15:00,"0,347"
01.07.2022 15:00,01.07.2022 16:00,"0,538"
01.07.2022 16:00,01.07.2022 17:00,"0,846"
01.07.2022 17:00,01.07.2022 18:00,"0,299"
01.07.2022 18:00,01.07.2022 19:00,"0,301"
01.07.2022 19:00,01.07.2022 20:00,"0,406"
01.07.2022 20:00,01.07.2022 21:00,"0,796"
01.07.2022 21:00,01.07.2022 22:00,"0,504"
01.07.2022 22:00,01.07.2022 23:00,"0,205"
01.07.2022 23:00,02.07.2022 00:00,"0,235"
02.07.2022 00:00,02.07.2022 01:00,"0,195"
02.07.2022 01:00,02.07.2022 02:00,"0,896"
02.07.2022 02:00,02.07.2022 03:00,"0,198"
02.07.2022 03:00,02.07.2022 04:00,"0,2"
02.07.2022 04:00,02.07.2022 05:00,"0,198"
02.07.2022 05:00,02.07.2022 06:00,"0,198"
02.07.2022 06:00,02.07.2022 07:00,"1,014"
02.07.2022 07:00,02.07.2022 08:00,"0,703"
02.07.2022 08:00,02.07.2022 09:00,"0,341"
02.07.2022 09:00,02.07.2022 10:00,"2,168"
02.07.2022 10:00,02.07.2022 11:00,"0,51"
02.07.2022 11:00,02.07.2022 12:00,"0,584"
02.07.2022 12:00,02.07.2022 13:00,"2,61"
02.07.2022 13:00,02.07.2022 14:00,"0,373"
02.07.2022 14:00,02.07.2022 15:00,"0,309"
02.07.2022 15:00,02.07.2022 16:00,"0,894"
02.07.2022 16:00,02.07.2022 17:00,"2,105"
02.07.2022 17:00,02.07.2022 18:00,"2,071"
02.07.2022 18:00,02.07.2022 19:00,"2,094"
02.07.2022 19:00,02.07.2022 20:00,"0,872"
02.07.2022 20:00,02.07.2022 21:00,"0,273"
02.07.2022 21:00,02.07.2022 22:00,"0,273"
02.07.2022 22:00,02.07.2022 23:00,"0,389"
02.07.2022 23:00,03.07.2022 00:00,"0,908"
03.07.2022 00:00,03.07.2022 01:00,"0,197"
03.07.2022 01:00,03.07.2022 02:00,"0,149"
03.07.2022 02:00,03.07.2022 03:00,"0,948"
03.07.2022 03:00,03.07.2022 04:00,"0,146"
03.07.2022 04:00,03.07.2022 05:00,"0,143"
03.07.2022 05:00,03.07.2022 06:00,"0,139"
03.07.2022 06:00,03.07.2022 07:00,"0,14"
03.07.2022 07:00,03.07.2022 08:00,"0,891"
03.07.2022 08:00,03.07.2022 09:00,"0,654"
03.07.2022 09:00,03.07.2022 10:00,"0,276"
03.07.2022 10:00,03.07.2022 11:00,"0,359"
03.07.2022 11:00,03.07.2022 12:00,"1,03"
03.07.2022 12:00,03.07.2022 13:00,"1,176"
03.07.2022 13:00,03.07.2022 14:00,"0,422"
03.07.2022 14:00,03.07.2022 15:00,"1,084"
03.07.2022 15:00,03.07.2022 16:00,"0,281"
03.07.2022 16:00,03.07.2022 17:00,"0,328"
03.07.2022 17:00,03.07.2022 18:00,"0,839"
03.07.2022 18:00,03.07.2022 19:00,"0,724"
03.07.2022 19:00,03.07.2022 20:00,"0,406"
03.07.2022 20:00,03.07.2022 21:00,"0,322"
03.07.2022 21:00,03.07.2022 22:00,"1,295"
03.07.2022 22:00,03.07.2022 23:00,"0,162"
03.07.2022 23:00,04.07.2022 00:00,"0,138"
04.07.2022 00:00,04.07.2022 01:00,"0,142"
04.07.2022 01:00,04.07.2022 02:00,"0,142"
04.07.2022 02:00,04.07.2022 03:00,"0,14"
04.07.2022 03:00,04.07.2022 04:00,"0,836"
04.07.2022 04:00,04.07.2022 05:00,"0,141"
04.07.2022 05:00,04.07.2022 06:00,"0,145"
04.07.2022 06:00,04.07.2022 07:00,"0,134"
04.07.2022 07:00,04.07.2022 08:00,"0,156"
04.07.2022 08:00,04.07.2022 09:00,"1,784"
04.07.2022 09:00,04.07.2022 10:00,"0,428"
04.07.2022 10:00,04.07.2022 11:00,"0,354"
04.07.2022 11:00,04.07.2022 12:00,"0,292"
