Fra,Til,KWH 60 Forbruk
01.02.2019 00:00,01.02.2019 01:00,"1,452"
01.02.2019 01:00,01.02.2019 02:00,"1,052"
01.02.2019 02:00,01.02.2019 03:00,"0,151"
01.02.2019 03:00,01.02.2019 04:00,"0,813"
01.02.2019 04:00,01.02.2019 05:00,"0,141"
01.02.2019 05:00,01.02.2019 06:00,"0,139"
01.02.2019 06:00,01.02.2019 07:00,"0,138"
01.02.2019 07:00,01.02.2019 08:00,"0,143"
01.02.2019 08:00,01.02.2019 09:00,"0,836"
01.02.2019 09:00,01.02.2019 10:00,"0,506"
01.02.2019 10:00,01.02.2019 11:00,"4,23"
01.02.2019 11:00,01.02.2019 12:00,"3,975"
01.02.2019 12:00,01.02.2019 13:00,"4,537"
01.02.2019 13:00,01.02.2019 14:00,"6,073"
01.02.2019 14:00,01.02.2019 15:00,"5,955"
01.02.2019 15:00,01.02.2019 16:00,"5,653"
01.02.2019 16:00,01.02.2019 17:00,"4,629"
01.02.2019 17:00,01.02.2019 18:00,"1,347"
01.02.2019 18:00,01.02.2019 19:00,"0,347"
01.02.2019 19:00,01.02.2019 20:00,"0,343"
01.02.2019 20:00,01.02.2019 21:00,"2,658"
01.02.2019 21:00,01.02.2019 22:00,"3,382"
01.02.2019 22:00,01.02.2019 23:00,"3,567"
01.02.2019 23:00,02.02.2019 00:00,"3,376"
02.02.2019 00:00,02.02.2019 01:00,"3,378"
02.02.2019 01:00,02.02.2019 02:00,"3,156"
02.02.2019 02:00,02.02.2019 03:00,"0,833"
02.02.2019 03:00,02.02.2019 04:00,"0,135"
02.02.2019 04:00,02.02.2019 05:00,"0,131"
02.02.2019 05:00,02.02.2019 06:00,"0,134"
02.02.2019 06:00,02.02.2019 07:00,"0,521"
02.02.2019 07:00,02.02.2019 08:00,"0,519"
02.02.2019 08:00,02.02.2019 09:00,"0,193"
02.02.2019 09:00,02.02.2019 10:00,"2,505"
02.02.2019 10:00,02.02.2019 11:00,"1,775"
02.02.2019 11:00,02.02.2019 12:00,"2,569"
02.02.2019 12:00,02.02.2019 13:00,"2,745"
02.02.2019 13:00,02.02.2019 14:00,"0,502"
02.02.2019 14:00,02.02.2019 15:00,"3,263"
02.02.2019 15:00,02.02.2019 16:00,"4,286"
02.02.2019 16:00,02.02.2019 17:00,"2,355"
02.02.2019 17:00,02.02.2019 18:00,"3,334"
02.02.2019 18:00,02.02.2019 19:00,"3,961"
02.02.2019 19:00,02.02.2019 20:00,"3,529"
02.02.2019 20:00,02.02.2019 21:00,"3,346"
02.02.2019 21:00,02.02.2019 22:00,"3,562"
02.02.2019 22:00,02.02.2019 23:00,"2,595"
02.02.2019 23:00,03.02.2019 00:00,"1,561"
03.02.2019 00:00,03.02.2019 01:00,"1,632"
03.02.2019 01:00,03.02.2019 02:00,"2,732"
03.02.2019 02:00,03.02.2019 03:00,"2,315"
03.02.2019 03:00,03.02.2019 04:00,"1,551"
03.02.2019 04:00,03.02.2019 05:00,"1,514"
03.02.2019 05:00,03.02.2019 06:00,"0,817"
03.02.2019 06:00,03.02.2019 07:00,"0,149"
03.02.2019 07:00,03.02.2019 08:00,"0,132"
03.02.2019 08:00,03.02.2019 09:00,"0,732"
03.02.2019 09:00,03.02.2019 10:00,"0,17"
03.02.2019 10:00,03.02.2019 11:00,"0,15"
03.02.2019 11:00,03.02.2019 12:00,"0,809"
03.02.2019 12:00,03.02.2019 13:00,"2,841"
03.02.2019 13:00,03.02.2019 14:00,"4,002"
03.02.2019 14:00,03.02.2019 15:00,"1,819"
03.02.2019 15:00,03.02.2019 16:00,"1,339"
03.02.2019 16:00,03.02.2019 17:00,"3,61"
03.02.2019 17:00,03.02.2019 18:00,"3,329"
03.02.2019 18:00,03.02.2019 19:00,"4,545"
03.02.2019 19:00,03.02.2019 20:00,"2,853"
03.02.2019 20:00,03.02.2019 21:00,"2,749"
03.02.2019 21:00,03.02.2019 22:00,"3,461"
03.02.2019 22:00,03.02.2019 23:00,"2,771"
03.02.2019 23:00,04.02.2019 00:00,"3,953"
04.02.2019 00:00,04.02.2019 01:00,"3,468"
04.02.2019 01:00,04.02.2019 02:00,"2,78"
04.02.2019 02:00,04.02.2019 03:00,"2,066"
04.02.2019 03:00,04.02.2019 04:00,"2,079"
04.02.2019 04:00,04.02.2019 05:00,"1,73"
04.02.2019 05:00,04.02.2019 06:00,"1,545"
04.02.2019 06:00,04.02.2019 07:00,"1,06"
04.02.2019 07:00,04.02.2019 08:00,"0,146"
04.02.2019 08:00,04.02.2019 09:00,"0,76"
04.02.2019 09:00,04.02.2019 10:00,"0,153"
04.02.2019 10:00,04.02.2019 11:00,"1,284"
04.02.2019 11:00,04.02.2019 12:00,"2,342"
04.02.2019 12:00,04.02.2019 13:00,"4,042"
04.02.2019 13:00,04.02.2019 14:00,"3,29"
04.02.2019 14:00,04.02.2019 15:00,"3,268"
04.02.2019 15:00,04.02.2019 16:00,"3,208"
04.02.2019 16:00,04.02.2019 17:00,"2,47"
04.02.2019 17:00,04.02.2019 18:00,"1,779"
04.02.2019 18:00,04.02.2019 19:00,"0,223"
04.02.2019 19:00,04.02.2019 20:00,"0,986"
04.02.2019 20:00,04.02.2019 21:00,"2,875"
04.02.2019 21:00,04.02.2019 22:00,"0,956"
04.02.2019 22:00,04.02.2019 23:00,"1,46"
04.02.2019 23:00,05.02.2019 00:00,"1,571"
05.02.2019 00:00,05.02.2019 01:00,"1,604"
05.02.2019 01:00,05.02.2019 02:00,"2,443"
05.02.2019 02:00,05.02.2019 03:00,"2,068"
05.02.2019 03:00,05.02.2019 04:00,"2,13"
05.02.2019 04:00,05.02.2019 05:00,"2,693"
05.02.2019 05:00,05.02.2019 06:00,"1,935"
05.02.2019 06:00,05.02.2019 07:00,"0,159"
05.02.2019 07:00,05.02.2019 08:00,"0,88"
05.02.2019 08:00,05.02.2019 09:00,"0,153"
05.02.2019 09:00,05.02.2019 10:00,"0,404"
05.02.2019 10:00,05.02.2019 11:00,"2,317"
05.02.2019 11:00,05.02.2019 12:00,"2,175"
05.02.2019 12:00,05.02.2019 13:00,"1,912"
05.02.2019 13:00,05.02.2019 14:00,"0,868"
05.02.2019 14:00,05.02.2019 15:00,"0,127"
05.02.2019 15:00,05.02.2019 16:00,"1,185"
05.02.2019 16:00,05.02.2019 17:00,"2,708"
05.02.2019 17:00,05.02.2019 18:00,"1,549"
05.02.2019 18:00,05.02.2019 19:00,"1,943"
05.02.2019 19:00,05.02.2019 20:00,"2,013"
