Fra,Til,KWH 60 Forbruk
01.05.2022 00:00,01.05.2022 01:00,"2,199"
01.05.2022 01:00,01.05.2022 02:00,"0,702"
01.05.2022 02:00,01.05.2022 03:00,"0,149"
01.05.2022 03:00,01.05.2022 04:00,"0,347"
01.05.2022 04:00,01.05.2022 05:00,"0,632"
01.05.2022 05:00,01.05.2022 06:00,"0,137"
01.05.2022 06:00,01.05.2022 07:00,"0,168"
01.05.2022 07:00,01.05.2022 08:00,"0,203"
01.05.2022 08:00,01.05.2022 09:00,"0,185"
01.05.2022 09:00,01.05.2022 10:00,"0,979"
01.05.2022 10:00,01.05.2022 11:00,"0,275"
01.05.2022 11:00,01.05.2022 12:00,"0,22"
01.05.2022 12:00,01.05.2022 13:00,"0,581"
01.05.2022 13:00,01.05.2022 14:00,"2,295"
01.05.2022 14:00,01.05.2022 15:00,"1,566"
01.05.2022 15:00,01.05.2022 16:00,"1,531"
01.05.2022 16:00,01.05.2022 17:00,"1,54"
01.05.2022 17:00,01.05.2022 18:00,"2,173"
01.05.2022 18:00,01.05.2022 19:00,"1,646"
01.05.2022 19:00,01.05.2022 20:00,"1,542"
01.05.2022 20:00,01.05.2022 21:00,"1,549"
01.05.2022 21:00,01.05.2022 22:00,"1,541"
01.05.2022 22:00,01.05.2022 23:00,"2,302"
01.05.2022 23:00,02.05.2022 00:00,"4,279"
02.05.2022 00:00,02.05.2022 01:00,"3,58"
02.05.2022 01:00,02.05.2022 02:00,"3,482"
02.05.2022 02:00,02.05.2022 03:00,"1,238"
02.05.2022 03:00,02.05.2022 04:00,"0,171"
02.05.2022 04:00,02.05.2022 05:00,"0,811"
02.05.2022 05:00,02.05.2022 06:00,"0,214"
02.05.2022 06:00,02.05.2022 07:00,"0,154"
02.05.2022 07:00,02.05.2022 08:00,"0,194"
02.05.2022 08:00,02.05.2022 09:00,"0,245"
02.05.2022 09:00,02.05.2022 10:00,"1,085"
02.05.2022 10:00,02.05.2022 11:00,"0,327"
02.05.2022 11:00,02.05.2022 12:00,"0,868"
02.05.2022 12:00,02.05.2022 13:00,"2,468"
02.05.2022 13:00,02.05.2022 14:00,"1,564"
02.05.2022 14:00,02.05.2022 15:00,"1,561"
02.05.2022 15:00,02.05.2022 16:00,"1,543"
02.05.2022 16:00,02.05.2022 17:00,"2,284"
02.05.2022 17:00,02.05.2022 18:00,"1,522"
02.05.2022 18:00,02.05.2022 19:00,"3,284"
02.05.2022 19:00,02.05.2022 20:00,"2,96"
02.05.2022 20:00,02.05.2022 21:00,"1,835"
02.05.2022 21:00,02.05.2022 22:00,"1,662"
02.05.2022 22:00,02.05.2022 23:00,"2,725"
02.05.2022 23:00,03.05.2022 00:00,"3,482"
03.05.2022 00:00,03.05.2022 01:00,"2,803"
03.05.2022 01:00,03.05.2022 02:00,"0,22"
03.05.2022 02:00,03.05.2022 03:00,"0,145"
03.05.2022 03:00,03.05.2022 04:00,"0,375"
03.05.2022 04:00,03.05.2022 05:00,"0,74"
03.05.2022 05:00,03.05.2022 06:00,"0,135"
03.05.2022 06:00,03.05.2022 07:00,"0,154"
03.05.2022 07:00,03.05.2022 08:00,"0,193"
03.05.2022 08:00,03.05.2022 09:00,"0,435"
03.05.2022 09:00,03.05.2022 10:00,"2,329"
03.05.2022 10:00,03.05.2022 11:00,"2,075"
03.05.2022 11:00,03.05.2022 12:00,"1,055"
03.05.2022 12:00,03.05.2022 13:00,"0,195"
03.05.2022 13:00,03.05.2022 14:00,"0,204"
03.05.2022 14:00,03.05.2022 15:00,"0,194"
03.05.2022 15:00,03.05.2022 16:00,"0,207"
03.05.2022 16:00,03.05.2022 17:00,"1,169"
03.05.2022 17:00,03.05.2022 18:00,"1,069"
03.05.2022 18:00,03.05.2022 19:00,"2,22"
03.05.2022 19:00,03.05.2022 20:00,"2,111"
03.05.2022 20:00,03.05.2022 21:00,"2,149"
03.05.2022 21:00,03.05.2022 22:00,"4,419"
03.05.2022 22:00,03.05.2022 23:00,"1,831"
03.05.2022 23:00,04.05.2022 00:00,"4,034"
04.05.2022 00:00,04.05.2022 01:00,"3,863"
04.05.2022 01:00,04.05.2022 02:00,"3,419"
04.05.2022 02:00,04.05.2022 03:00,"2,003"
04.05.2022 03:00,04.05.2022 04:00,"0,153"
04.05.2022 04:00,04.05.2022 05:00,"0,143"
04.05.2022 05:00,04.05.2022 06:00,"0,134"
04.05.2022 06:00,04.05.2022 07:00,"0,185"
04.05.2022 07:00,04.05.2022 08:00,"0,76"
04.05.2022 08:00,04.05.2022 09:00,"0,4"
04.05.2022 09:00,04.05.2022 10:00,"1,658"
04.05.2022 10:00,04.05.2022 11:00,"2,109"
04.05.2022 11:00,04.05.2022 12:00,"2,102"
04.05.2022 12:00,04.05.2022 13:00,"0,767"
04.05.2022 13:00,04.05.2022 14:00,"0,223"
04.05.2022 14:00,04.05.2022 15:00,"0,227"
04.05.2022 15:00,04.05.2022 16:00,"0,48"
04.05.2022 16:00,04.05.2022 17:00,"1,397"
04.05.2022 17:00,04.05.2022 18:00,"0,901"
04.05.2022 18:00,04.05.2022 19:00,"0,773"
04.05.2022 19:00,04.05.2022 20:00,"1,534"
04.05.2022 20:00,04.05.2022 21:00,"1,5"
04.05.2022 21:00,04.05.2022 22:00,"2,338"
04.05.2022 22:00,04.05.2022 23:00,"1,669"
04.05.2022 23:00,05.05.2022 00:00,"2,822"
05.05.2022 00:00,05.05.2022 01:00,"2,367"
05.05.2022 01:00,05.05.2022 02:00,"1,487"
05.05.2022 02:00,05.05.2022 03:00,"0,907"
05.05.2022 03:00,05.05.2022 04:00,"0,142"
05.05.2022 04:00,05.05.2022 05:00,"0,765"
05.05.2022 05:00,05.05.2022 06:00,"0,396"
05.05.2022 06:00,05.05.2022 07:00,"0,324"
05.05.2022 07:00,05.05.2022 08:00,"0,319"
05.05.2022 08:00,05.05.2022 09:00,"1,161"
05.05.2022 09:00,05.05.2022 10:00,"1,897"
05.05.2022 10:00,05.05.2022 11:00,"0,191"
05.05.2022 11:00,05.05.2022 12:00,"0,234"
05.05.2022 12:00,05.05.2022 13:00,"0,2"
05.05.2022 13:00,05.05.2022 14:00,"0,518"
05.05.2022 14:00,05.05.2022 15:00,"0,678"
05.05.2022 15:00,05.05.2022 16:00,"0,58"
05.05.2022 16:00,05.05.2022 17:00,"3,326"
05.05.2022 17:00,05.05.2022 18:00,"2,981"
05.05.2022 18:00,05.05.2022 19:00,"3,318"
05.05.2022 19:00,05.05.2022 20:00,"3,942"
05.05.2022 20:00,05.05.2022 21:00,"2,908"
05.05.2022 21:00,05.05.2022 22:00,"1,313"
05.05.2022 22:00,05.05.2022 23:00,"0,881"
