Fra,Til,KWH 60 Forbruk
01.10.2020 00:00,01.10.2020 01:00,"1,425"
01.10.2020 01:00,01.10.2020 02:00,"0,163"
01.10.2020 02:00,01.10.2020 03:00,"0,168"
01.10.2020 03:00,01.10.2020 04:00,"0,154"
01.10.2020 04:00,01.10.2020 05:00,"0,815"
01.10.2020 05:00,01.10.2020 06:00,"0,331"
01.10.2020 06:00,01.10.2020 07:00,"0,156"
01.10.2020 07:00,01.10.2020 08:00,"0,163"
01.10.2020 08:00,01.10.2020 09:00,"0,249"
01.10.2020 09:00,01.10.2020 10:00,"0,267"
01.10.2020 10:00,01.10.2020 11:00,"1,306"
01.10.2020 11:00,01.10.2020 12:00,"0,256"
01.10.2020 12:00,01.10.2020 13:00,"0,227"
01.10.2020 13:00,01.10.2020 14:00,"0,24"
01.10.2020 14:00,01.10.2020 15:00,"0,218"
01.10.2020 15:00,01.10.2020 16:00,"0,803"
01.10.2020 16:00,01.10.2020 17:00,"0,474"
01.10.2020 17:00,01.10.2020 18:00,"0,254"
01.10.2020 18:00,01.10.2020 19:00,"0,239"
01.10.2020 19:00,01.10.2020 20:00,"1,381"
01.10.2020 20:00,01.10.2020 21:00,"2,983"
01.10.2020 21:00,01.10.2020 22:00,"2,444"
01.10.2020 22:00,01.10.2020 23:00,"2,515"
01.10.2020 23:00,02.10.2020 00:00,"0,449"
02.10.2020 00:00,02.10.2020 01:00,"0,18"
02.10.2020 01:00,02.10.2020 02:00,"0,182"
02.10.2020 02:00,02.10.2020 03:00,"0,165"
02.10.2020 03:00,02.10.2020 04:00,"0,156"
02.10.2020 04:00,02.10.2020 05:00,"0,86"
02.10.2020 05:00,02.10.2020 06:00,"0,114"
02.10.2020 06:00,02.10.2020 07:00,"0,163"
02.10.2020 07:00,02.10.2020 08:00,"0,123"
02.10.2020 08:00,02.10.2020 09:00,"0,867"
02.10.2020 09:00,02.10.2020 10:00,"2,193"
02.10.2020 10:00,02.10.2020 11:00,"0,731"
02.10.2020 11:00,02.10.2020 12:00,"0,636"
02.10.2020 12:00,02.10.2020 13:00,"0,159"
02.10.2020 13:00,02.10.2020 14:00,"0,495"
02.10.2020 14:00,02.10.2020 15:00,"0,82"
02.10.2020 15:00,02.10.2020 16:00,"0,94"
02.10.2020 16:00,02.10.2020 17:00,"2,696"
02.10.2020 17:00,02.10.2020 18:00,"2,676"
02.10.2020 18:00,02.10.2020 19:00,"3,334"
02.10.2020 19:00,02.10.2020 20:00,"3,09"
02.10.2020 20:00,02.10.2020 21:00,"3,025"
02.10.2020 21:00,02.10.2020 22:00,"3,438"
02.10.2020 22:00,02.10.2020 23:00,"4,433"
02.10.2020 23:00,03.10.2020 00:00,"4,244"
03.10.2020 00:00,03.10.2020 01:00,"2,646"
03.10.2020 01:00,03.10.2020 02:00,"1,542"
03.10.2020 02:00,03.10.2020 03:00,"0,85"
03.10.2020 03:00,03.10.2020 04:00,"0,133"
03.10.2020 04:00,03.10.2020 05:00,"0,123"
03.10.2020 05:00,03.10.2020 06:00,"0,152"
03.10.2020 06:00,03.10.2020 07:00,"0,823"
03.10.2020 07:00,03.10.2020 08:00,"0,118"
03.10.2020 08:00,03.10.2020 09:00,"0,119"
03.10.2020 09:00,03.10.2020 10:00,"0,119"
03.10.2020 10:00,03.10.2020 11:00,"0,126"
03.10.2020 11:00,03.10.2020 12:00,"0,13"
03.10.2020 12:00,03.10.2020 13:00,"1,162"
03.10.2020 13:00,03.10.2020 14:00,"0,182"
03.10.2020 14:00,03.10.2020 15:00,"0,254"
03.10.2020 15:00,03.10.2020 16:00,"1,366"
03.10.2020 16:00,03.10.2020 17:00,"3,687"
03.10.2020 17:00,03.10.2020 18:00,"4,345"
03.10.2020 18:00,03.10.2020 19:00,"2,416"
03.10.2020 19:00,03.10.2020 20:00,"1,527"
03.10.2020 20:00,03.10.2020 21:00,"1,527"
03.10.2020 21:00,03.10.2020 22:00,"2,116"
03.10.2020 22:00,03.10.2020 23:00,"2,275"
03.10.2020 23:00,04.10.2020 00:00,"1,468"
04.10.2020 00:00,04.10.2020 01:00,"1,66"
04.10.2020 01:00,04.10.2020 02:00,"2,015"
04.10.2020 02:00,04.10.2020 03:00,"2,447"
04.10.2020 03:00,04.10.2020 04:00,"1,486"
04.10.2020 04:00,04.10.2020 05:00,"1,461"
04.10.2020 05:00,04.10.2020 06:00,"0,758"
04.10.2020 06:00,04.10.2020 07:00,"0,161"
04.10.2020 07:00,04.10.2020 08:00,"0,155"
04.10.2020 08:00,04.10.2020 09:00,"0,93"
04.10.2020 09:00,04.10.2020 10:00,"0,164"
04.10.2020 10:00,04.10.2020 11:00,"1,83"
04.10.2020 11:00,04.10.2020 12:00,"2,205"
04.10.2020 12:00,04.10.2020 13:00,"1,377"
04.10.2020 13:00,04.10.2020 14:00,"1,553"
04.10.2020 14:00,04.10.2020 15:00,"1,482"
04.10.2020 15:00,04.10.2020 16:00,"3,486"
04.10.2020 16:00,04.10.2020 17:00,"1,996"
04.10.2020 17:00,04.10.2020 18:00,"1,734"
04.10.2020 18:00,04.10.2020 19:00,"2,198"
04.10.2020 19:00,04.10.2020 20:00,"3,391"
04.10.2020 20:00,04.10.2020 21:00,"1,566"
04.10.2020 21:00,04.10.2020 22:00,"1,689"
04.10.2020 22:00,04.10.2020 23:00,"1,497"
04.10.2020 23:00,05.10.2020 00:00,"1,499"
05.10.2020 00:00,05.10.2020 01:00,"1,707"
05.10.2020 01:00,05.10.2020 02:00,"1,42"
05.10.2020 02:00,05.10.2020 03:00,"0,173"
05.10.2020 03:00,05.10.2020 04:00,"0,148"
05.10.2020 04:00,05.10.2020 05:00,"0,139"
05.10.2020 05:00,05.10.2020 06:00,"0,138"
05.10.2020 06:00,05.10.2020 07:00,"0,39"
05.10.2020 07:00,05.10.2020 08:00,"1,578"
05.10.2020 08:00,05.10.2020 09:00,"2,143"
05.10.2020 09:00,05.10.2020 10:00,"2,13"
05.10.2020 10:00,05.10.2020 11:00,"2,079"
05.10.2020 11:00,05.10.2020 12:00,"1,046"
05.10.2020 12:00,05.10.2020 13:00,"0,165"
05.10.2020 13:00,05.10.2020 14:00,"0,162"
05.10.2020 14:00,05.10.2020 15:00,"0,18"
05.10.2020 15:00,05.10.2020 16:00,"0,157"
05.10.2020 16:00,05.10.2020 17:00,"1,054"
05.10.2020 17:00,05.10.2020 18:00,"0,569"
05.10.2020 18:00,05.10.2020 19:00,"0,259"
05.10.2020 19:00,05.10.2020 20:00,"1,277"
05.10.2020 20:00,05.10.2020 21:00,"1,603"
05.10.2020 21:00,05.10.2020 22:00,"0,492"
05.10.2020 22:00,05.10.2020 23:00,"0,269"
05.10.2020 23:00,06.10.2020 00:00,"0,189"
06.10.2020 00:00,06.10.2020 01:00,"0,97"
06.10.2020 01:00,06.10.2020 02:00,"0,118"
06.10.2020 02:00,06.10.2020 03:00,"0,109"
06.10.2020 03:00,06.10.2020 04:00,"0,109"
06.10.2020 04:00,06.10.2020 05:00,"0,104"
06.10.2020 05:00,06.10.2020 06:00,"0,112"
06.10.2020 06:00,06.10.2020 07:00,"1,065"
06.10.2020 07:00,06.10.2020 08:00,"1,82"
06.10.2020 08:00,06.10.2020 09:00,"0,151"
06.10.2020 09:00,06.10.2020 10:00,"0,149"
06.10.2020 10:00,06.10.2020 11:00,"1,122"
06.10.2020 11:00,06.10.2020 12:00,"2,051"
06.10.2020 12:00,06.10.2020 13:00,"2,03"
06.10.2020 13:00,06.10.2020 14:00,"2,028"
06.10.2020 14:00,06.10.2020 15:00,"1,21"
06.10.2020 15:00,06.10.2020 16:00,"0,106"
06.10.2020 16:00,06.10.2020 17:00,"0,106"
06.10.2020 17:00,06.10.2020 18:00,"0,884"
06.10.2020 18:00,06.10.2020 19:00,"4,41"
06.10.2020 19:00,06.10.2020 20:00,"1,786"
06.10.2020 20:00,06.10.2020 21:00,"3,369"
06.10.2020 21:00,06.10.2020 22:00,"2,219"
06.10.2020 22:00,06.10.2020 23:00,"2,242"
06.10.2020 23:00,07.10.2020 00:00,"0,91"
07.10.2020 00:00,07.10.2020 01:00,"0,248"
07.10.2020 01:00,07.10.2020 02:00,"0,209"
07.10.2020 02:00,07.10.2020 03:00,"0,176"
07.10.2020 03:00,07.10.2020 04:00,"0,134"
07.10.2020 04:00,07.10.2020 05:00,"0,884"
07.10.2020 05:00,07.10.2020 06:00,"0,129"
07.10.2020 06:00,07.10.2020 07:00,"0,353"
07.10.2020 07:00,07.10.2020 08:00,"2,079"
07.10.2020 08:00,07.10.2020 09:00,"2,104"
07.10.2020 09:00,07.10.2020 10:00,"2,071"
07.10.2020 10:00,07.10.2020 11:00,"1,96"
07.10.2020 11:00,07.10.2020 12:00,"0,285"
07.10.2020 12:00,07.10.2020 13:00,"0,285"
07.10.2020 13:00,07.10.2020 14:00,"0,533"
07.10.2020 14:00,07.10.2020 15:00,"1,539"
07.10.2020 15:00,07.10.2020 16:00,"2,345"
07.10.2020 16:00,07.10.2020 17:00,"1,528"
07.10.2020 17:00,07.10.2020 18:00,"1,663"
07.10.2020 18:00,07.10.2020 19:00,"3,195"
07.10.2020 19:00,07.10.2020 20:00,"2,632"
07.10.2020 20:00,07.10.2020 21:00,"1,566"
07.10.2020 21:00,07.10.2020 22:00,"1,579"
07.10.2020 22:00,07.10.2020 23:00,"3,21"
07.10.2020 23:00,08.10.2020 00:00,"3,612"
08.10.2020 00:00,08.10.2020 01:00,"3,38"
08.10.2020 01:00,08.10.2020 02:00,"1,629"
08.10.2020 02:00,08.10.2020 03:00,"1,478"
08.10.2020 03:00,08.10.2020 04:00,"0,278"
08.10.2020 04:00,08.10.2020 05:00,"0,183"
08.10.2020 05:00,08.10.2020 06:00,"0,118"
08.10.2020 06:00,08.10.2020 07:00,"0,316"
08.10.2020 07:00,08.10.2020 08:00,"0,959"
08.10.2020 08:00,08.10.2020 09:00,"0,462"
08.10.2020 09:00,08.10.2020 10:00,"0,249"
08.10.2020 10:00,08.10.2020 11:00,"0,252"
08.10.2020 11:00,08.10.2020 12:00,"1,275"
08.10.2020 12:00,08.10.2020 13:00,"0,357"
08.10.2020 13:00,08.10.2020 14:00,"0,324"
08.10.2020 14:00,08.10.2020 15:00,"0,324"
08.10.2020 15:00,08.10.2020 16:00,"0,26"
08.10.2020 16:00,08.10.2020 17:00,"0,211"
08.10.2020 17:00,08.10.2020 18:00,"1,02"
08.10.2020 18:00,08.10.2020 19:00,"1,122"
08.10.2020 19:00,08.10.2020 20:00,"1,34"
08.10.2020 20:00,08.10.2020 21:00,"0,394"
08.10.2020 21:00,08.10.2020 22:00,"1,57"
08.10.2020 22:00,08.10.2020 23:00,"1,504"
08.10.2020 23:00,09.10.2020 00:00,"2,759"
09.10.2020 00:00,09.10.2020 01:00,"2,696"
09.10.2020 01:00,09.10.2020 02:00,"0,461"
09.10.2020 02:00,09.10.2020 03:00,"0,296"
09.10.2020 03:00,09.10.2020 04:00,"0,268"
09.10.2020 04:00,09.10.2020 05:00,"0,24"
09.10.2020 05:00,09.10.2020 06:00,"0,153"
09.10.2020 06:00,09.10.2020 07:00,"0,897"
09.10.2020 07:00,09.10.2020 08:00,"0,138"
09.10.2020 08:00,09.10.2020 09:00,"0,142"
09.10.2020 09:00,09.10.2020 10:00,"0,176"
09.10.2020 10:00,09.10.2020 11:00,"0,182"
09.10.2020 11:00,09.10.2020 12:00,"0,926"
09.10.2020 12:00,09.10.2020 13:00,"0,168"
09.10.2020 13:00,09.10.2020 14:00,"0,183"
09.10.2020 14:00,09.10.2020 15:00,"1,511"
09.10.2020 15:00,09.10.2020 16:00,"1,535"
09.10.2020 16:00,09.10.2020 17:00,"2,607"
09.10.2020 17:00,09.10.2020 18:00,"2,569"
09.10.2020 18:00,09.10.2020 19:00,"2,205"
09.10.2020 19:00,09.10.2020 20:00,"2,057"
09.10.2020 20:00,09.10.2020 21:00,"1,697"
09.10.2020 21:00,09.10.2020 22:00,"2,265"
09.10.2020 22:00,09.10.2020 23:00,"1,652"
09.10.2020 23:00,10.10.2020 00:00,"1,581"
10.10.2020 00:00,10.10.2020 01:00,"1,602"
10.10.2020 01:00,10.10.2020 02:00,"2,366"
10.10.2020 02:00,10.10.2020 03:00,"1,53"
10.10.2020 03:00,10.10.2020 04:00,"1,507"
10.10.2020 04:00,10.10.2020 05:00,"2,349"
10.10.2020 05:00,10.10.2020 06:00,"0,426"
10.10.2020 06:00,10.10.2020 07:00,"0,11"
10.10.2020 07:00,10.10.2020 08:00,"0,122"
10.10.2020 08:00,10.10.2020 09:00,"0,112"
10.10.2020 09:00,10.10.2020 10:00,"1,283"
10.10.2020 10:00,10.10.2020 11:00,"0,229"
10.10.2020 11:00,10.10.2020 12:00,"0,189"
10.10.2020 12:00,10.10.2020 13:00,"0,178"
10.10.2020 13:00,10.10.2020 14:00,"0,185"
10.10.2020 14:00,10.10.2020 15:00,"1,241"
10.10.2020 15:00,10.10.2020 16:00,"2,476"
10.10.2020 16:00,10.10.2020 17:00,"2,568"
10.10.2020 17:00,10.10.2020 18:00,"3,544"
10.10.2020 18:00,10.10.2020 19:00,"3,778"
10.10.2020 19:00,10.10.2020 20:00,"4,275"
10.10.2020 20:00,10.10.2020 21:00,"4,209"
10.10.2020 21:00,10.10.2020 22:00,"3,391"
10.10.2020 22:00,10.10.2020 23:00,"1,716"
10.10.2020 23:00,11.10.2020 00:00,"1,784"
11.10.2020 00:00,11.10.2020 01:00,"1,699"
11.10.2020 01:00,11.10.2020 02:00,"2,723"
11.10.2020 02:00,11.10.2020 03:00,"1,795"
11.10.2020 03:00,11.10.2020 04:00,"1,58"
11.10.2020 04:00,11.10.2020 05:00,"1,553"
11.10.2020 05:00,11.10.2020 06:00,"1,418"
11.10.2020 06:00,11.10.2020 07:00,"0,172"
11.10.2020 07:00,11.10.2020 08:00,"0,111"
11.10.2020 08:00,11.10.2020 09:00,"0,113"
11.10.2020 09:00,11.10.2020 10:00,"0,118"
11.10.2020 10:00,11.10.2020 11:00,"0,223"
11.10.2020 11:00,11.10.2020 12:00,"0,767"
11.10.2020 12:00,11.10.2020 13:00,"1,062"
11.10.2020 13:00,11.10.2020 14:00,"0,267"
11.10.2020 14:00,11.10.2020 15:00,"0,984"
11.10.2020 15:00,11.10.2020 16:00,"1,637"
11.10.2020 16:00,11.10.2020 17:00,"1,746"
11.10.2020 17:00,11.10.2020 18:00,"3,041"
11.10.2020 18:00,11.10.2020 19:00,"0,528"
11.10.2020 19:00,11.10.2020 20:00,"1,755"
11.10.2020 20:00,11.10.2020 21:00,"2,542"
11.10.2020 21:00,11.10.2020 22:00,"2,368"
11.10.2020 22:00,11.10.2020 23:00,"4,311"
11.10.2020 23:00,12.10.2020 00:00,"3,325"
12.10.2020 00:00,12.10.2020 01:00,"1,739"
12.10.2020 01:00,12.10.2020 02:00,"3,109"
12.10.2020 02:00,12.10.2020 03:00,"1,62"
12.10.2020 03:00,12.10.2020 04:00,"2,415"
12.10.2020 04:00,12.10.2020 05:00,"1,462"
12.10.2020 05:00,12.10.2020 06:00,"1,43"
12.10.2020 06:00,12.10.2020 07:00,"1,433"
12.10.2020 07:00,12.10.2020 08:00,"0,368"
12.10.2020 08:00,12.10.2020 09:00,"2,177"
12.10.2020 09:00,12.10.2020 10:00,"2,076"
12.10.2020 10:00,12.10.2020 11:00,"0,395"
12.10.2020 11:00,12.10.2020 12:00,"0,138"
12.10.2020 12:00,12.10.2020 13:00,"0,139"
12.10.2020 13:00,12.10.2020 14:00,"0,131"
12.10.2020 14:00,12.10.2020 15:00,"0,216"
12.10.2020 15:00,12.10.2020 16:00,"1,256"
12.10.2020 16:00,12.10.2020 17:00,"0,266"
12.10.2020 17:00,12.10.2020 18:00,"1,179"
12.10.2020 18:00,12.10.2020 19:00,"2,444"
12.10.2020 19:00,12.10.2020 20:00,"1,657"
12.10.2020 20:00,12.10.2020 21:00,"0,364"
12.10.2020 21:00,12.10.2020 22:00,"0,807"
12.10.2020 22:00,12.10.2020 23:00,"2,26"
12.10.2020 23:00,13.10.2020 00:00,"3,012"
13.10.2020 00:00,13.10.2020 01:00,"3,913"
13.10.2020 01:00,13.10.2020 02:00,"1,777"
13.10.2020 02:00,13.10.2020 03:00,"0,356"
13.10.2020 03:00,13.10.2020 04:00,"0,357"
13.10.2020 04:00,13.10.2020 05:00,"0,335"
13.10.2020 05:00,13.10.2020 06:00,"0,219"
13.10.2020 06:00,13.10.2020 07:00,"0,947"
13.10.2020 07:00,13.10.2020 08:00,"0,154"
13.10.2020 08:00,13.10.2020 09:00,"0,165"
13.10.2020 09:00,13.10.2020 10:00,"0,182"
13.10.2020 10:00,13.10.2020 11:00,"0,234"
13.10.2020 11:00,13.10.2020 12:00,"0,945"
13.10.2020 12:00,13.10.2020 13:00,"0,393"
13.10.2020 13:00,13.10.2020 14:00,"2,118"
13.10.2020 14:00,13.10.2020 15:00,"2,063"
13.10.2020 15:00,13.10.2020 16:00,"2,109"
13.10.2020 16:00,13.10.2020 17:00,"1,867"
13.10.2020 17:00,13.10.2020 18:00,"0,275"
13.10.2020 18:00,13.10.2020 19:00,"0,305"
13.10.2020 19:00,13.10.2020 20:00,"1,936"
13.10.2020 20:00,13.10.2020 21:00,"2,313"
13.10.2020 21:00,13.10.2020 22:00,"1,27"
13.10.2020 22:00,13.10.2020 23:00,"1,499"
13.10.2020 23:00,14.10.2020 00:00,"2,358"
14.10.2020 00:00,14.10.2020 01:00,"2,081"
14.10.2020 01:00,14.10.2020 02:00,"0,225"
14.10.2020 02:00,14.10.2020 03:00,"0,183"
14.10.2020 03:00,14.10.2020 04:00,"0,129"
14.10.2020 04:00,14.10.2020 05:00,"0,367"
14.10.2020 05:00,14.10.2020 06:00,"0,691"
14.10.2020 06:00,14.10.2020 07:00,"0,107"
14.10.2020 07:00,14.10.2020 08:00,"0,97"
14.10.2020 08:00,14.10.2020 09:00,"2,103"
14.10.2020 09:00,14.10.2020 10:00,"2,033"
14.10.2020 10:00,14.10.2020 11:00,"2,17"
14.10.2020 11:00,14.10.2020 12:00,"1,648"
14.10.2020 12:00,14.10.2020 13:00,"1,486"
14.10.2020 13:00,14.10.2020 14:00,"1,489"
14.10.2020 14:00,14.10.2020 15:00,"1,501"
14.10.2020 15:00,14.10.2020 16:00,"2,509"
14.10.2020 16:00,14.10.2020 17:00,"1,637"
14.10.2020 17:00,14.10.2020 18:00,"1,476"
14.10.2020 18:00,14.10.2020 19:00,"1,47"
14.10.2020 19:00,14.10.2020 20:00,"1,476"
14.10.2020 20:00,14.10.2020 21:00,"1,939"
14.10.2020 21:00,14.10.2020 22:00,"1,689"
14.10.2020 22:00,14.10.2020 23:00,"1,504"
14.10.2020 23:00,15.10.2020 00:00,"1,716"
15.10.2020 00:00,15.10.2020 01:00,"0,773"
15.10.2020 01:00,15.10.2020 02:00,"0,173"
15.10.2020 02:00,15.10.2020 03:00,"0,312"
15.10.2020 03:00,15.10.2020 04:00,"0,297"
15.10.2020 04:00,15.10.2020 05:00,"0,138"
15.10.2020 05:00,15.10.2020 06:00,"0,292"
15.10.2020 06:00,15.10.2020 07:00,"0,128"
15.10.2020 07:00,15.10.2020 08:00,"0,293"
15.10.2020 08:00,15.10.2020 09:00,"2,339"
15.10.2020 09:00,15.10.2020 10:00,"2,074"
15.10.2020 10:00,15.10.2020 11:00,"0,481"
15.10.2020 11:00,15.10.2020 12:00,"0,643"
15.10.2020 12:00,15.10.2020 13:00,"1,209"
15.10.2020 13:00,15.10.2020 14:00,"0,222"
15.10.2020 14:00,15.10.2020 15:00,"0,895"
15.10.2020 15:00,15.10.2020 16:00,"1,463"
15.10.2020 16:00,15.10.2020 17:00,"2,594"
15.10.2020 17:00,15.10.2020 18:00,"4,678"
15.10.2020 18:00,15.10.2020 19:00,"4,504"
15.10.2020 19:00,15.10.2020 20:00,"2,395"
15.10.2020 20:00,15.10.2020 21:00,"3,687"
15.10.2020 21:00,15.10.2020 22:00,"1,555"
15.10.2020 22:00,15.10.2020 23:00,"2,637"
15.10.2020 23:00,16.10.2020 00:00,"3,482"
16.10.2020 00:00,16.10.2020 01:00,"2,379"
16.10.2020 01:00,16.10.2020 02:00,"1,822"
16.10.2020 02:00,16.10.2020 03:00,"0,143"
16.10.2020 03:00,16.10.2020 04:00,"0,129"
16.10.2020 04:00,16.10.2020 05:00,"0,126"
16.10.2020 05:00,16.10.2020 06:00,"0,129"
16.10.2020 06:00,16.10.2020 07:00,"0,134"
16.10.2020 07:00,16.10.2020 08:00,"0,864"
16.10.2020 08:00,16.10.2020 09:00,"0,143"
16.10.2020 09:00,16.10.2020 10:00,"0,153"
16.10.2020 10:00,16.10.2020 11:00,"1,693"
16.10.2020 11:00,16.10.2020 12:00,"0,347"
16.10.2020 12:00,16.10.2020 13:00,"1,455"
16.10.2020 13:00,16.10.2020 14:00,"1,446"
16.10.2020 14:00,16.10.2020 15:00,"2,31"
16.10.2020 15:00,16.10.2020 16:00,"1,455"
16.10.2020 16:00,16.10.2020 17:00,"1,483"
16.10.2020 17:00,16.10.2020 18:00,"1,984"
16.10.2020 18:00,16.10.2020 19:00,"2,27"
16.10.2020 19:00,16.10.2020 20:00,"2,606"
16.10.2020 20:00,16.10.2020 21:00,"2,526"
16.10.2020 21:00,16.10.2020 22:00,"1,653"
16.10.2020 22:00,16.10.2020 23:00,"1,681"
16.10.2020 23:00,17.10.2020 00:00,"2,665"
17.10.2020 00:00,17.10.2020 01:00,"1,784"
17.10.2020 01:00,17.10.2020 02:00,"1,497"
17.10.2020 02:00,17.10.2020 03:00,"1,478"
17.10.2020 03:00,17.10.2020 04:00,"1,461"
17.10.2020 04:00,17.10.2020 05:00,"1,438"
17.10.2020 05:00,17.10.2020 06:00,"2,156"
17.10.2020 06:00,17.10.2020 07:00,"0,402"
17.10.2020 07:00,17.10.2020 08:00,"0,126"
17.10.2020 08:00,17.10.2020 09:00,"0,117"
17.10.2020 09:00,17.10.2020 10:00,"0,127"
17.10.2020 10:00,17.10.2020 11:00,"0,137"
17.10.2020 11:00,17.10.2020 12:00,"1,392"
17.10.2020 12:00,17.10.2020 13:00,"0,226"
17.10.2020 13:00,17.10.2020 14:00,"0,211"
17.10.2020 14:00,17.10.2020 15:00,"0,208"
17.10.2020 15:00,17.10.2020 16:00,"0,28"
17.10.2020 16:00,17.10.2020 17:00,"1,278"
17.10.2020 17:00,17.10.2020 18:00,"0,669"
17.10.2020 18:00,17.10.2020 19:00,"0,41"
17.10.2020 19:00,17.10.2020 20:00,"1,492"
17.10.2020 20:00,17.10.2020 21:00,"3,66"
17.10.2020 21:00,17.10.2020 22:00,"4,571"
17.10.2020 22:00,17.10.2020 23:00,"5,755"
17.10.2020 23:00,18.10.2020 00:00,"3,696"
18.10.2020 00:00,18.10.2020 01:00,"3,653"
18.10.2020 01:00,18.10.2020 02:00,"2,263"
18.10.2020 02:00,18.10.2020 03:00,"1,512"
18.10.2020 03:00,18.10.2020 04:00,"1,514"
18.10.2020 04:00,18.10.2020 05:00,"0,669"
18.10.2020 05:00,18.10.2020 06:00,"0,237"
18.10.2020 06:00,18.10.2020 07:00,"0,996"
18.10.2020 07:00,18.10.2020 08:00,"0,213"
18.10.2020 08:00,18.10.2020 09:00,"0,136"
18.10.2020 09:00,18.10.2020 10:00,"0,134"
18.10.2020 10:00,18.10.2020 11:00,"0,134"
18.10.2020 11:00,18.10.2020 12:00,"2,57"
18.10.2020 12:00,18.10.2020 13:00,"3,504"
18.10.2020 13:00,18.10.2020 14:00,"1,42"
18.10.2020 14:00,18.10.2020 15:00,"0,336"
18.10.2020 15:00,18.10.2020 16:00,"1,093"
18.10.2020 16:00,18.10.2020 17:00,"1,696"
18.10.2020 17:00,18.10.2020 18:00,"2,35"
18.10.2020 18:00,18.10.2020 19:00,"1,577"
18.10.2020 19:00,18.10.2020 20:00,"1,509"
18.10.2020 20:00,18.10.2020 21:00,"1,49"
18.10.2020 21:00,18.10.2020 22:00,"2,286"
18.10.2020 22:00,18.10.2020 23:00,"1,974"
18.10.2020 23:00,19.10.2020 00:00,"1,669"
19.10.2020 00:00,19.10.2020 01:00,"1,552"
19.10.2020 01:00,19.10.2020 02:00,"1,507"
19.10.2020 02:00,19.10.2020 03:00,"1,559"
19.10.2020 03:00,19.10.2020 04:00,"1,031"
19.10.2020 04:00,19.10.2020 05:00,"0,115"
19.10.2020 05:00,19.10.2020 06:00,"0,114"
19.10.2020 06:00,19.10.2020 07:00,"0,114"
19.10.2020 07:00,19.10.2020 08:00,"0,122"
19.10.2020 08:00,19.10.2020 09:00,"1,213"
