Fra,Til,KWH 60 Forbruk
01.02.2021 00:00,01.02.2021 01:00,"2,415"
01.02.2021 01:00,01.02.2021 02:00,"0,857"
01.02.2021 02:00,01.02.2021 03:00,"0,222"
01.02.2021 03:00,01.02.2021 04:00,"0,118"
01.02.2021 04:00,01.02.2021 05:00,"0,938"
01.02.2021 05:00,01.02.2021 06:00,"0,128"
01.02.2021 06:00,01.02.2021 07:00,"0,11"
01.02.2021 07:00,01.02.2021 08:00,"0,111"
01.02.2021 08:00,01.02.2021 09:00,"0,128"
01.02.2021 09:00,01.02.2021 10:00,"1,548"
01.02.2021 10:00,01.02.2021 11:00,"3,041"
01.02.2021 11:00,01.02.2021 12:00,"2,879"
01.02.2021 12:00,01.02.2021 13:00,"2,73"
01.02.2021 13:00,01.02.2021 14:00,"1,834"
01.02.2021 14:00,01.02.2021 15:00,"2,699"
01.02.2021 15:00,01.02.2021 16:00,"2,271"
01.02.2021 16:00,01.02.2021 17:00,"2,015"
01.02.2021 17:00,01.02.2021 18:00,"3,835"
01.02.2021 18:00,01.02.2021 19:00,"3,439"
01.02.2021 19:00,01.02.2021 20:00,"3,313"
01.02.2021 20:00,01.02.2021 21:00,"2,219"
01.02.2021 21:00,01.02.2021 22:00,"1,32"
01.02.2021 22:00,01.02.2021 23:00,"2,341"
01.02.2021 23:00,02.02.2021 00:00,"1,673"
02.02.2021 00:00,02.02.2021 01:00,"1,56"
02.02.2021 01:00,02.02.2021 02:00,"0,142"
02.02.2021 02:00,02.02.2021 03:00,"0,115"
02.02.2021 03:00,02.02.2021 04:00,"0,114"
02.02.2021 04:00,02.02.2021 05:00,"0,188"
02.02.2021 05:00,02.02.2021 06:00,"0,768"
02.02.2021 06:00,02.02.2021 07:00,"0,106"
02.02.2021 07:00,02.02.2021 08:00,"0,111"
02.02.2021 08:00,02.02.2021 09:00,"0,127"
02.02.2021 09:00,02.02.2021 10:00,"0,133"
02.02.2021 10:00,02.02.2021 11:00,"3,579"
02.02.2021 11:00,02.02.2021 12:00,"3,516"
02.02.2021 12:00,02.02.2021 13:00,"3,445"
02.02.2021 13:00,02.02.2021 14:00,"2,903"
02.02.2021 14:00,02.02.2021 15:00,"2,809"
02.02.2021 15:00,02.02.2021 16:00,"3,581"
02.02.2021 16:00,02.02.2021 17:00,"1,769"
02.02.2021 17:00,02.02.2021 18:00,"1,558"
02.02.2021 18:00,02.02.2021 19:00,"2,475"
02.02.2021 19:00,02.02.2021 20:00,"2,628"
02.02.2021 20:00,02.02.2021 21:00,"2,64"
02.02.2021 21:00,02.02.2021 22:00,"2,566"
02.02.2021 22:00,02.02.2021 23:00,"2,902"
