Fra,Til,KWH 60 Forbruk
01.12.2019 00:00,01.12.2019 01:00,"4,067"
01.12.2019 01:00,01.12.2019 02:00,"4,153"
01.12.2019 02:00,01.12.2019 03:00,"3,6"
01.12.2019 03:00,01.12.2019 04:00,"2,417"
01.12.2019 04:00,01.12.2019 05:00,"0,247"
01.12.2019 05:00,01.12.2019 06:00,"0,132"
01.12.2019 06:00,01.12.2019 07:00,"0,131"
01.12.2019 07:00,01.12.2019 08:00,"0,129"
01.12.2019 08:00,01.12.2019 09:00,"0,128"
01.12.2019 09:00,01.12.2019 10:00,"0,555"
01.12.2019 10:00,01.12.2019 11:00,"0,47"
01.12.2019 11:00,01.12.2019 12:00,"0,194"
01.12.2019 12:00,01.12.2019 13:00,"0,327"
01.12.2019 13:00,01.12.2019 14:00,"1,895"
01.12.2019 14:00,01.12.2019 15:00,"1,568"
01.12.2019 15:00,01.12.2019 16:00,"2,414"
01.12.2019 16:00,01.12.2019 17:00,"1,6"
01.12.2019 17:00,01.12.2019 18:00,"1,594"
01.12.2019 18:00,01.12.2019 19:00,"1,905"
01.12.2019 19:00,01.12.2019 20:00,"3,846"
01.12.2019 20:00,01.12.2019 21:00,"2,56"
01.12.2019 21:00,01.12.2019 22:00,"2,38"
01.12.2019 22:00,01.12.2019 23:00,"1,456"
01.12.2019 23:00,02.12.2019 00:00,"0,291"
02.12.2019 00:00,02.12.2019 01:00,"0,256"
02.12.2019 01:00,02.12.2019 02:00,"0,939"
02.12.2019 02:00,02.12.2019 03:00,"0,139"
02.12.2019 03:00,02.12.2019 04:00,"0,116"
02.12.2019 04:00,02.12.2019 05:00,"0,116"
02.12.2019 05:00,02.12.2019 06:00,"0,115"
02.12.2019 06:00,02.12.2019 07:00,"0,119"
02.12.2019 07:00,02.12.2019 08:00,"0,837"
02.12.2019 08:00,02.12.2019 09:00,"0,117"
02.12.2019 09:00,02.12.2019 10:00,"1,375"
02.12.2019 10:00,02.12.2019 11:00,"0,584"
02.12.2019 11:00,02.12.2019 12:00,"0,144"
02.12.2019 12:00,02.12.2019 13:00,"1,816"
02.12.2019 13:00,02.12.2019 14:00,"2,128"
02.12.2019 14:00,02.12.2019 15:00,"2,737"
02.12.2019 15:00,02.12.2019 16:00,"1,886"
02.12.2019 16:00,02.12.2019 17:00,"1,906"
02.12.2019 17:00,02.12.2019 18:00,"1,822"
02.12.2019 18:00,02.12.2019 19:00,"1,784"
02.12.2019 19:00,02.12.2019 20:00,"2,167"
02.12.2019 20:00,02.12.2019 21:00,"2,178"
02.12.2019 21:00,02.12.2019 22:00,"2,87"
02.12.2019 22:00,02.12.2019 23:00,"1,718"
02.12.2019 23:00,03.12.2019 00:00,"2,199"
03.12.2019 00:00,03.12.2019 01:00,"3,751"
03.12.2019 01:00,03.12.2019 02:00,"2,615"
03.12.2019 02:00,03.12.2019 03:00,"2,509"
03.12.2019 03:00,03.12.2019 04:00,"1,198"
03.12.2019 04:00,03.12.2019 05:00,"0,611"
03.12.2019 05:00,03.12.2019 06:00,"0,643"
03.12.2019 06:00,03.12.2019 07:00,"0,653"
03.12.2019 07:00,03.12.2019 08:00,"0,652"
03.12.2019 08:00,03.12.2019 09:00,"0,653"
03.12.2019 09:00,03.12.2019 10:00,"1,38"
03.12.2019 10:00,03.12.2019 11:00,"0,667"
03.12.2019 11:00,03.12.2019 12:00,"0,655"
03.12.2019 12:00,03.12.2019 13:00,"1,937"
03.12.2019 13:00,03.12.2019 14:00,"2,659"
03.12.2019 14:00,03.12.2019 15:00,"0,831"
03.12.2019 15:00,03.12.2019 16:00,"0,815"
03.12.2019 16:00,03.12.2019 17:00,"0,832"
03.12.2019 17:00,03.12.2019 18:00,"0,944"
03.12.2019 18:00,03.12.2019 19:00,"1,062"
03.12.2019 19:00,03.12.2019 20:00,"2,129"
03.12.2019 20:00,03.12.2019 21:00,"1,54"
03.12.2019 21:00,03.12.2019 22:00,"0,745"
03.12.2019 22:00,03.12.2019 23:00,"0,738"
03.12.2019 23:00,04.12.2019 00:00,"0,571"
04.12.2019 00:00,04.12.2019 01:00,"0,863"
04.12.2019 01:00,04.12.2019 02:00,"0,914"
04.12.2019 02:00,04.12.2019 03:00,"0,742"
04.12.2019 03:00,04.12.2019 04:00,"0,544"
04.12.2019 04:00,04.12.2019 05:00,"0,772"
04.12.2019 05:00,04.12.2019 06:00,"0,773"
04.12.2019 06:00,04.12.2019 07:00,"0,618"
04.12.2019 07:00,04.12.2019 08:00,"0,804"
