Fra,Til,KWH 60 Forbruk
14.01.2019 00:00,14.01.2019 01:00,"0,338"
14.01.2019 01:00,14.01.2019 02:00,"1,047"
14.01.2019 02:00,14.01.2019 03:00,"0,327"
14.01.2019 03:00,14.01.2019 04:00,"1,475"
14.01.2019 04:00,14.01.2019 05:00,"2,791"
14.01.2019 05:00,14.01.2019 06:00,"3,286"
14.01.2019 06:00,14.01.2019 07:00,"2,109"
14.01.2019 07:00,14.01.2019 08:00,"1,98"
14.01.2019 08:00,14.01.2019 09:00,"1,563"
14.01.2019 09:00,14.01.2019 10:00,"2,014"
14.01.2019 10:00,14.01.2019 11:00,"0,928"
14.01.2019 11:00,14.01.2019 12:00,"0,178"
14.01.2019 12:00,14.01.2019 13:00,"0,269"
14.01.2019 13:00,14.01.2019 14:00,"2,42"
14.01.2019 14:00,14.01.2019 15:00,"3,306"
14.01.2019 15:00,14.01.2019 16:00,"1,712"
14.01.2019 16:00,14.01.2019 17:00,"0,235"
14.01.2019 17:00,14.01.2019 18:00,"0,739"
14.01.2019 18:00,14.01.2019 19:00,"1,127"
14.01.2019 19:00,14.01.2019 20:00,"0,456"
14.01.2019 20:00,14.01.2019 21:00,"2,2"
14.01.2019 21:00,14.01.2019 22:00,"1,382"
14.01.2019 22:00,14.01.2019 23:00,"0,339"
14.01.2019 23:00,15.01.2019 00:00,"1,502"
15.01.2019 00:00,15.01.2019 01:00,"0,308"
15.01.2019 01:00,15.01.2019 02:00,"1,722"
15.01.2019 02:00,15.01.2019 03:00,"1,475"
15.01.2019 03:00,15.01.2019 04:00,"1,482"
15.01.2019 04:00,15.01.2019 05:00,"2,217"
15.01.2019 05:00,15.01.2019 06:00,"0,99"
15.01.2019 06:00,15.01.2019 07:00,"0,125"
15.01.2019 07:00,15.01.2019 08:00,"0,124"
15.01.2019 08:00,15.01.2019 09:00,"0,24"
15.01.2019 09:00,15.01.2019 10:00,"0,233"
15.01.2019 10:00,15.01.2019 11:00,"0,364"
15.01.2019 11:00,15.01.2019 12:00,"1,597"
15.01.2019 12:00,15.01.2019 13:00,"2,005"
15.01.2019 13:00,15.01.2019 14:00,"1,991"
15.01.2019 14:00,15.01.2019 15:00,"0,209"
15.01.2019 15:00,15.01.2019 16:00,"2,231"
15.01.2019 16:00,15.01.2019 17:00,"2,629"
15.01.2019 17:00,15.01.2019 18:00,"1,564"
15.01.2019 18:00,15.01.2019 19:00,"2,27"
15.01.2019 19:00,15.01.2019 20:00,"1,797"
15.01.2019 20:00,15.01.2019 21:00,"3,554"
15.01.2019 21:00,15.01.2019 22:00,"3,033"
15.01.2019 22:00,15.01.2019 23:00,"1,64"
15.01.2019 23:00,16.01.2019 00:00,"2,13"
16.01.2019 00:00,16.01.2019 01:00,"4,555"
16.01.2019 01:00,16.01.2019 02:00,"3,554"
16.01.2019 02:00,16.01.2019 03:00,"3,192"
16.01.2019 03:00,16.01.2019 04:00,"1,472"
16.01.2019 04:00,16.01.2019 05:00,"0,564"
16.01.2019 05:00,16.01.2019 06:00,"0,172"
16.01.2019 06:00,16.01.2019 07:00,"0,132"
16.01.2019 07:00,16.01.2019 08:00,"0,71"
16.01.2019 08:00,16.01.2019 09:00,"0,349"
16.01.2019 09:00,16.01.2019 10:00,"0,118"
16.01.2019 10:00,16.01.2019 11:00,"0,116"
16.01.2019 11:00,16.01.2019 12:00,"0,114"
16.01.2019 12:00,16.01.2019 13:00,"0,114"
16.01.2019 13:00,16.01.2019 14:00,"1,783"
16.01.2019 14:00,16.01.2019 15:00,"2,838"
16.01.2019 15:00,16.01.2019 16:00,"3,147"
16.01.2019 16:00,16.01.2019 17:00,"1,945"
16.01.2019 17:00,16.01.2019 18:00,"1,953"
16.01.2019 18:00,16.01.2019 19:00,"2,028"
16.01.2019 19:00,16.01.2019 20:00,"4,478"
16.01.2019 20:00,16.01.2019 21:00,"3,169"
16.01.2019 21:00,16.01.2019 22:00,"2,629"
16.01.2019 22:00,16.01.2019 23:00,"1,999"
16.01.2019 23:00,17.01.2019 00:00,"1,732"
17.01.2019 00:00,17.01.2019 01:00,"2,116"
17.01.2019 01:00,17.01.2019 02:00,"2,07"
