Fra,Til,KWH 60 Forbruk
01.03.2021 00:00,01.03.2021 01:00,"2,273"
01.03.2021 01:00,01.03.2021 02:00,"2,401"
01.03.2021 02:00,01.03.2021 03:00,"1,789"
01.03.2021 03:00,01.03.2021 04:00,"0,311"
01.03.2021 04:00,01.03.2021 05:00,"0,304"
01.03.2021 05:00,01.03.2021 06:00,"0,617"
01.03.2021 06:00,01.03.2021 07:00,"0,809"
01.03.2021 07:00,01.03.2021 08:00,"0,26"
01.03.2021 08:00,01.03.2021 09:00,"0,274"
01.03.2021 09:00,01.03.2021 10:00,"2,053"
01.03.2021 10:00,01.03.2021 11:00,"0,355"
01.03.2021 11:00,01.03.2021 12:00,"0,372"
01.03.2021 12:00,01.03.2021 13:00,"0,383"
01.03.2021 13:00,01.03.2021 14:00,"1,14"
01.03.2021 14:00,01.03.2021 15:00,"0,689"
01.03.2021 15:00,01.03.2021 16:00,"0,376"
01.03.2021 16:00,01.03.2021 17:00,"0,417"
01.03.2021 17:00,01.03.2021 18:00,"1,124"
01.03.2021 18:00,01.03.2021 19:00,"1,058"
01.03.2021 19:00,01.03.2021 20:00,"0,441"
01.03.2021 20:00,01.03.2021 21:00,"0,214"
01.03.2021 21:00,01.03.2021 22:00,"2,821"
01.03.2021 22:00,01.03.2021 23:00,"2,318"
01.03.2021 23:00,02.03.2021 00:00,"2,264"
02.03.2021 00:00,02.03.2021 01:00,"1,48"
02.03.2021 01:00,02.03.2021 02:00,"1,143"
02.03.2021 02:00,02.03.2021 03:00,"0,448"
02.03.2021 03:00,02.03.2021 04:00,"1,736"
02.03.2021 04:00,02.03.2021 05:00,"0,988"
02.03.2021 05:00,02.03.2021 06:00,"0,358"
02.03.2021 06:00,02.03.2021 07:00,"0,351"
02.03.2021 07:00,02.03.2021 08:00,"0,686"
02.03.2021 08:00,02.03.2021 09:00,"1,577"
02.03.2021 09:00,02.03.2021 10:00,"0,413"
02.03.2021 10:00,02.03.2021 11:00,"0,332"
02.03.2021 11:00,02.03.2021 12:00,"0,315"
02.03.2021 12:00,02.03.2021 13:00,"0,368"
02.03.2021 13:00,02.03.2021 14:00,"1,259"
02.03.2021 14:00,02.03.2021 15:00,"0,876"
02.03.2021 15:00,02.03.2021 16:00,"1,616"
02.03.2021 16:00,02.03.2021 17:00,"1,614"
02.03.2021 17:00,02.03.2021 18:00,"0,454"
02.03.2021 18:00,02.03.2021 19:00,"1,62"
02.03.2021 19:00,02.03.2021 20:00,"0,562"
02.03.2021 20:00,02.03.2021 21:00,"0,37"
02.03.2021 21:00,02.03.2021 22:00,"3,432"
02.03.2021 22:00,02.03.2021 23:00,"0,546"
02.03.2021 23:00,03.03.2021 00:00,"1,021"
03.03.2021 00:00,03.03.2021 01:00,"2,167"
03.03.2021 01:00,03.03.2021 02:00,"2,151"
03.03.2021 02:00,03.03.2021 03:00,"0,157"
03.03.2021 03:00,03.03.2021 04:00,"0,142"
03.03.2021 04:00,03.03.2021 05:00,"0,155"
03.03.2021 05:00,03.03.2021 06:00,"0,144"
03.03.2021 06:00,03.03.2021 07:00,"0,612"
03.03.2021 07:00,03.03.2021 08:00,"3,19"
03.03.2021 08:00,03.03.2021 09:00,"2,352"
03.03.2021 09:00,03.03.2021 10:00,"3,576"
03.03.2021 10:00,03.03.2021 11:00,"4,252"
03.03.2021 11:00,03.03.2021 12:00,"3,584"
03.03.2021 12:00,03.03.2021 13:00,"2,201"
